1.07.849 I slot print_timing: id  0 | task 4 | prompt eval time =    4145.90 ms /  1004 tokens (    4.13 ms per token,   242.20 tokens per second)
8.37.415 I slot print_timing: id  0 | task 32 | draft acceptance = 0.70781 ( 1342 accepted /  1896 generated)
8.37.415 I slot print_timing: id  0 | task 32 | reasoning effort = medium
9.13.027 I slot print_timing: id  0 | task 34 | prompt eval time =    1447.30 ms /  1006 tokens (    1.44 ms per token,   695.10 tokens per second)
9.13.027 I slot print_timing: id  0 | task 34 |        eval time =   32013.20 ms /  1530 tokens (   20.92 ms per token,    47.80 tokens per second)
9.13.027 I slot print_timing: id  0 | task 34 | draft acceptance = 0.49325 (  913 accepted /  1851 generated)
9.13.027 I slot print_timing: id  0 | task 34 | reasoning effort = xhigh
9.48.926 I slot print_timing: id  0 | task 34 | prompt eval time =   27206.90 ms / 21305 tokens (    1.28 ms per token,   783.10 tokens per second)
9.48.926 I slot print_timing: id  0 | task 34 |        eval time =    8684.10 ms /   554 tokens (   15.68 ms per token,    63.80 tokens per second)
9.48.926 I slot print_timing: id  0 | task 34 | draft acceptance = 0.86768 (  400 accepted /   461 generated)
9.48.926 I slot print_timing: id  0 | task 34 | reasoning effort = medium
9.55.357 I slot print_timing: id  0 | task 35 | prompt eval time =    1715.80 ms /  1097 tokens (    1.56 ms per token,   639.30 tokens per second)  [21248 cached]
9.55.357 I slot print_timing: id  0 | task 35 |        eval time =    3899.00 ms /   276 tokens (   14.13 ms per token,    70.80 tokens per second)
9.55.357 I slot print_timing: id  0 | task 35 | draft acceptance = 0.98565 (  206 accepted /   209 generated)
9.55.357 I slot print_timing: id  0 | task 35 | reasoning effort = medium
11.05.218 I slot print_timing: id  0 | task 36 | prompt eval time =    2338.50 ms /  1503 tokens (    1.56 ms per token,   642.70 tokens per second)  [22272 cached]
11.05.218 I slot print_timing: id  0 | task 36 |        eval time =   67373.00 ms /  3940 tokens (   17.10 ms per token,    58.50 tokens per second)
11.05.218 I slot print_timing: id  0 | task 36 | draft acceptance = 0.77145 ( 2751 accepted /  3566 generated)
11.05.218 I slot print_timing: id  0 | task 36 | reasoning effort = medium
11.12.419 I slot print_timing: id  0 | task 37 | prompt eval time =    6183.10 ms /  4185 tokens (    1.48 ms per token,   676.80 tokens per second)  [23552 cached]
11.12.419 I slot print_timing: id  0 | task 37 |        eval time =     855.30 ms /    54 tokens (   15.84 ms per token,    63.10 tokens per second)
11.12.419 I slot print_timing: id  0 | task 37 | draft acceptance = 0.86667 (   39 accepted /    45 generated)
11.12.419 I slot print_timing: id  0 | task 37 | reasoning effort = medium
11.16.307 I slot print_timing: id  0 | task 38 | prompt eval time =     426.50 ms /   188 tokens (    2.27 ms per token,   440.80 tokens per second)  [27648 cached]
11.16.307 I slot print_timing: id  0 | task 38 |        eval time =    3334.70 ms /   226 tokens (   14.76 ms per token,    67.80 tokens per second)
11.16.307 I slot print_timing: id  0 | task 38 | draft acceptance = 0.95977 (  167 accepted /   174 generated)
11.16.307 I slot print_timing: id  0 | task 38 | reasoning effort = medium
11.19.225 I slot print_timing: id  0 | task 39 | prompt eval time =    1201.80 ms /   497 tokens (    2.42 ms per token,   413.60 tokens per second)  [27648 cached]
11.19.225 I slot print_timing: id  0 | task 39 |        eval time =    1577.50 ms /   106 tokens (   14.88 ms per token,    67.20 tokens per second)
11.19.225 I slot print_timing: id  0 | task 39 | draft acceptance = 0.92857 (   78 accepted /    84 generated)
11.19.225 I slot print_timing: id  0 | task 39 | reasoning effort = medium
11.25.528 I slot print_timing: id  0 | task 40 | prompt eval time =     934.20 ms /   403 tokens (    2.32 ms per token,   431.40 tokens per second)  [27904 cached]
11.25.528 I slot print_timing: id  0 | task 40 |        eval time =    5235.10 ms /   348 tokens (   15.04 ms per token,    66.50 tokens per second)
11.25.528 I slot print_timing: id  0 | task 40 | draft acceptance = 0.91727 (  255 accepted /   278 generated)
11.25.528 I slot print_timing: id  0 | task 40 | reasoning effort = medium
11.29.305 I slot print_timing: id  0 | task 41 | prompt eval time =    1121.50 ms /   578 tokens (    1.94 ms per token,   515.40 tokens per second)  [28160 cached]
11.29.305 I slot print_timing: id  0 | task 41 |        eval time =    2518.00 ms /   175 tokens (   14.39 ms per token,    69.50 tokens per second)
11.29.305 I slot print_timing: id  0 | task 41 | draft acceptance = 1.00000 (  131 accepted /   131 generated)
11.29.305 I slot print_timing: id  0 | task 41 | reasoning effort = medium
11.31.588 I slot print_timing: id  0 | task 42 | prompt eval time =     776.30 ms /   326 tokens (    2.38 ms per token,   419.90 tokens per second)  [28672 cached]
11.31.588 I slot print_timing: id  0 | task 42 |        eval time =    1371.10 ms /    91 tokens (   15.07 ms per token,    66.40 tokens per second)
11.31.588 I slot print_timing: id  0 | task 42 | draft acceptance = 0.97101 (   67 accepted /    69 generated)
11.31.588 I slot print_timing: id  0 | task 42 | reasoning effort = medium
11.46.388 I slot print_timing: id  0 | task 43 | prompt eval time =     498.50 ms /   217 tokens (    2.30 ms per token,   435.30 tokens per second)  [28928 cached]
11.46.388 I slot print_timing: id  0 | task 43 |        eval time =   14167.50 ms /   932 tokens (   15.20 ms per token,    65.80 tokens per second)
11.46.388 I slot print_timing: id  0 | task 43 | draft acceptance = 0.92308 (  684 accepted /   741 generated)
11.46.388 I slot print_timing: id  0 | task 43 | reasoning effort = medium
11.55.894 I slot print_timing: id  0 | task 44 | prompt eval time =    2007.80 ms /  1188 tokens (    1.69 ms per token,   591.70 tokens per second)  [28928 cached]
11.55.894 I slot print_timing: id  0 | task 44 |        eval time =    7331.90 ms /   415 tokens (   17.67 ms per token,    56.60 tokens per second)
11.55.894 I slot print_timing: id  0 | task 44 | draft acceptance = 0.75131 (  287 accepted /   382 generated)
11.55.894 I slot print_timing: id  0 | task 44 | reasoning effort = medium
11.59.736 I slot print_timing: id  0 | task 45 | prompt eval time =    1253.90 ms /   633 tokens (    1.98 ms per token,   504.80 tokens per second)  [29952 cached]
11.59.736 I slot print_timing: id  0 | task 45 |        eval time =    2444.30 ms /   152 tokens (   16.08 ms per token,    62.20 tokens per second)
11.59.736 I slot print_timing: id  0 | task 45 | draft acceptance = 0.86508 (  109 accepted /   126 generated)
11.59.736 I slot print_timing: id  0 | task 45 | reasoning effort = medium
12.15.813 I slot print_timing: id  0 | task 46 | prompt eval time =     853.80 ms /   359 tokens (    2.38 ms per token,   420.50 tokens per second)  [30464 cached]
12.15.813 I slot print_timing: id  0 | task 46 |        eval time =   15068.10 ms /   998 tokens (   15.10 ms per token,    66.20 tokens per second)
12.15.813 I slot print_timing: id  0 | task 46 | draft acceptance = 0.92911 (  734 accepted /   790 generated)
12.15.813 I slot print_timing: id  0 | task 46 | reasoning effort = medium
12.19.032 I slot print_timing: id  0 | task 47 | prompt eval time =    2036.10 ms /  1186 tokens (    1.72 ms per token,   582.50 tokens per second)  [30720 cached]
12.19.032 I slot print_timing: id  0 | task 47 |        eval time =    1025.90 ms /    66 tokens (   15.54 ms per token,    64.30 tokens per second)
12.19.032 I slot print_timing: id  0 | task 47 | draft acceptance = 0.92308 (   48 accepted /    52 generated)
12.19.032 I slot print_timing: id  0 | task 47 | reasoning effort = medium
13.49.045 I slot print_timing: id  0 | task 48 | prompt eval time =    1029.90 ms /   452 tokens (    2.28 ms per token,   438.90 tokens per second)  [31744 cached]
13.49.045 I slot print_timing: id  0 | task 48 |        eval time =   88247.50 ms /  4685 tokens (   18.84 ms per token,    53.10 tokens per second)
13.49.045 I slot print_timing: id  0 | task 48 | draft acceptance = 0.69356 ( 3164 accepted /  4562 generated)
13.49.045 I slot print_timing: id  0 | task 48 | reasoning effort = medium
13.57.980 I slot print_timing: id  0 | task 49 | prompt eval time =    7856.20 ms /  4926 tokens (    1.59 ms per token,   627.00 tokens per second)  [32000 cached]
13.57.980 I slot print_timing: id  0 | task 49 |        eval time =     888.70 ms /    60 tokens (   14.81 ms per token,    67.50 tokens per second)
13.57.980 I slot print_timing: id  0 | task 49 | draft acceptance = 1.00000 (   45 accepted /    45 generated)
13.57.980 I slot print_timing: id  0 | task 49 | reasoning effort = medium
14.01.264 I slot print_timing: id  0 | task 50 | prompt eval time =     448.10 ms /   182 tokens (    2.46 ms per token,   406.20 tokens per second)  [36864 cached]
14.01.264 I slot print_timing: id  0 | task 50 |        eval time =    2175.10 ms /   131 tokens (   16.60 ms per token,    60.20 tokens per second)
14.01.264 I slot print_timing: id  0 | task 50 | draft acceptance = 0.87037 (   94 accepted /   108 generated)
14.01.264 I slot print_timing: id  0 | task 50 | reasoning effort = medium
14.05.148 I slot print_timing: id  0 | task 51 | prompt eval time =    1234.50 ms /   545 tokens (    2.27 ms per token,   441.50 tokens per second)  [36864 cached]
14.05.148 I slot print_timing: id  0 | task 51 |        eval time =    2352.20 ms /   147 tokens (   16.00 ms per token,    62.50 tokens per second)
14.05.148 I slot print_timing: id  0 | task 51 | draft acceptance = 0.89916 (  107 accepted /   119 generated)
14.05.148 I slot print_timing: id  0 | task 51 | reasoning effort = medium
14.06.701 I slot print_timing: id  0 | task 52 | prompt eval time =     536.20 ms /   225 tokens (    2.38 ms per token,   419.60 tokens per second)  [37376 cached]
14.06.701 I slot print_timing: id  0 | task 52 |        eval time =     849.90 ms /    56 tokens (   15.18 ms per token,    65.90 tokens per second)
14.06.701 I slot print_timing: id  0 | task 52 | draft acceptance = 1.00000 (   42 accepted /    42 generated)
14.06.701 I slot print_timing: id  0 | task 52 | reasoning effort = medium
14.57.603 I slot print_timing: id  0 | task 53 | prompt eval time =    3118.80 ms /  1841 tokens (    1.69 ms per token,   590.30 tokens per second)  [37376 cached]
14.57.603 I slot print_timing: id  0 | task 53 |        eval time =   47619.80 ms /  2313 tokens (   20.59 ms per token,    48.60 tokens per second)
14.57.603 I slot print_timing: id  0 | task 53 | draft acceptance = 0.62324 ( 1507 accepted /  2418 generated)
14.57.603 I slot print_timing: id  0 | task 53 | reasoning effort = medium
15.11.485 I slot print_timing: id  0 | task 54 | prompt eval time =    4821.30 ms /  2771 tokens (    1.74 ms per token,   574.70 tokens per second)  [39168 cached]
15.11.485 I slot print_timing: id  0 | task 54 |        eval time =    8026.20 ms /   482 tokens (   16.65 ms per token,    60.10 tokens per second)
15.11.485 I slot print_timing: id  0 | task 54 | draft acceptance = 0.85891 (  347 accepted /   404 generated)
15.11.485 I slot print_timing: id  0 | task 54 | reasoning effort = medium
16.30.270 I slot print_timing: id  0 | task 55 | prompt eval time =    2182.70 ms /  1161 tokens (    1.88 ms per token,   531.90 tokens per second)  [41728 cached]
16.30.270 I slot print_timing: id  0 | task 55 |        eval time =   75709.20 ms /  3885 tokens (   19.49 ms per token,    51.30 tokens per second)
16.30.270 I slot print_timing: id  0 | task 55 | draft acceptance = 0.68994 ( 2619 accepted /  3796 generated)
16.30.270 I slot print_timing: id  0 | task 55 | reasoning effort = medium
17.15.609 I slot print_timing: id  0 | task 57 | prompt eval time =    1558.30 ms /  1006 tokens (    1.55 ms per token,   645.60 tokens per second)
17.15.609 I slot print_timing: id  0 | task 57 |        eval time =   22941.10 ms /  1200 tokens (   19.12 ms per token,    52.30 tokens per second)
17.15.609 I slot print_timing: id  0 | task 57 | draft acceptance = 0.57576 (  760 accepted /  1320 generated)
17.15.609 I slot print_timing: id  0 | task 57 | reasoning effort = xhigh
17.51.479 I slot print_timing: id  0 | task 57 | prompt eval time =   27167.00 ms / 21306 tokens (    1.28 ms per token,   784.30 tokens per second)
17.51.479 I slot print_timing: id  0 | task 57 |        eval time =    8690.80 ms /   549 tokens (   15.83 ms per token,    63.20 tokens per second)
17.51.479 I slot print_timing: id  0 | task 57 | draft acceptance = 0.84914 (  394 accepted /   464 generated)
17.51.479 I slot print_timing: id  0 | task 57 | reasoning effort = medium
17.57.951 I slot print_timing: id  0 | task 58 | prompt eval time =    1737.30 ms /  1093 tokens (    1.59 ms per token,   629.20 tokens per second)  [21248 cached]
17.57.951 I slot print_timing: id  0 | task 58 |        eval time =    3952.50 ms /   276 tokens (   14.32 ms per token,    69.80 tokens per second)
17.57.951 I slot print_timing: id  0 | task 58 | draft acceptance = 0.96698 (  205 accepted /   212 generated)
17.57.951 I slot print_timing: id  0 | task 58 | reasoning effort = medium
18.50.665 I slot print_timing: id  0 | task 59 | prompt eval time =    2335.00 ms /  1499 tokens (    1.56 ms per token,   642.00 tokens per second)  [22272 cached]
18.50.665 I slot print_timing: id  0 | task 59 |        eval time =   50224.00 ms /  2868 tokens (   17.51 ms per token,    57.10 tokens per second)
18.50.665 I slot print_timing: id  0 | task 59 | draft acceptance = 0.74082 ( 1978 accepted /  2670 generated)
18.50.665 I slot print_timing: id  0 | task 59 | reasoning effort = medium
18.56.336 I slot print_timing: id  0 | task 60 | prompt eval time =    4798.10 ms /  3199 tokens (    1.50 ms per token,   666.70 tokens per second)  [23552 cached]
18.56.336 I slot print_timing: id  0 | task 60 |        eval time =     741.50 ms /    50 tokens (   14.83 ms per token,    67.40 tokens per second)
18.56.336 I slot print_timing: id  0 | task 60 | draft acceptance = 1.00000 (   37 accepted /    37 generated)
18.56.336 I slot print_timing: id  0 | task 60 | reasoning effort = medium
19.00.385 I slot print_timing: id  0 | task 61 | prompt eval time =     501.60 ms /   223 tokens (    2.25 ms per token,   444.50 tokens per second)  [26624 cached]
