6.10.780 I slot print_timing: id  0 | task 21 | prompt eval time =     893.20 ms /   381 tokens (    2.34 ms per token,   426.60 tokens per second)  [30208 cached]
14.01.264 I slot print_timing: id  0 | task 50 |        eval time =    2175.10 ms /   131 tokens (   16.60 ms per token,    60.20 tokens per second)
14.01.264 I slot print_timing: id  0 | task 50 | draft acceptance = 0.87037 (   94 accepted /   108 generated)
14.01.264 I slot print_timing: id  0 | task 50 | reasoning effort = medium
14.05.148 I slot print_timing: id  0 | task 51 | prompt eval time =    1234.50 ms /   545 tokens (    2.27 ms per token,   441.50 tokens per second)  [36864 cached]
14.05.148 I slot print_timing: id  0 | task 51 |        eval time =    2352.20 ms /   147 tokens (   16.00 ms per token,    62.50 tokens per second)
14.05.148 I slot print_timing: id  0 | task 51 | draft acceptance = 0.89916 (  107 accepted /   119 generated)
14.05.148 I slot print_timing: id  0 | task 51 | reasoning effort = medium
14.06.701 I slot print_timing: id  0 | task 52 | prompt eval time =     536.20 ms /   225 tokens (    2.38 ms per token,   419.60 tokens per second)  [37376 cached]
14.06.701 I slot print_timing: id  0 | task 52 |        eval time =     849.90 ms /    56 tokens (   15.18 ms per token,    65.90 tokens per second)
14.06.701 I slot print_timing: id  0 | task 52 | draft acceptance = 1.00000 (   42 accepted /    42 generated)
14.06.701 I slot print_timing: id  0 | task 52 | reasoning effort = medium
14.57.603 I slot print_timing: id  0 | task 53 | prompt eval time =    3118.80 ms /  1841 tokens (    1.69 ms per token,   590.30 tokens per second)  [37376 cached]
14.57.603 I slot print_timing: id  0 | task 53 |        eval time =   47619.80 ms /  2313 tokens (   20.59 ms per token,    48.60 tokens per second)
14.57.603 I slot print_timing: id  0 | task 53 | draft acceptance = 0.62324 ( 1507 accepted /  2418 generated)
14.57.603 I slot print_timing: id  0 | task 53 | reasoning effort = medium
15.11.485 I slot print_timing: id  0 | task 54 | prompt eval time =    4821.30 ms /  2771 tokens (    1.74 ms per token,   574.70 tokens per second)  [39168 cached]
15.11.485 I slot print_timing: id  0 | task 54 |        eval time =    8026.20 ms /   482 tokens (   16.65 ms per token,    60.10 tokens per second)
15.11.485 I slot print_timing: id  0 | task 54 | draft acceptance = 0.85891 (  347 accepted /   404 generated)
15.11.485 I slot print_timing: id  0 | task 54 | reasoning effort = medium
16.30.270 I slot print_timing: id  0 | task 55 | prompt eval time =    2182.70 ms /  1161 tokens (    1.88 ms per token,   531.90 tokens per second)  [41728 cached]
16.30.270 I slot print_timing: id  0 | task 55 |        eval time =   75709.20 ms /  3885 tokens (   19.49 ms per token,    51.30 tokens per second)
16.30.270 I slot print_timing: id  0 | task 55 | draft acceptance = 0.68994 ( 2619 accepted /  3796 generated)
16.30.270 I slot print_timing: id  0 | task 55 | reasoning effort = medium
17.15.609 I slot print_timing: id  0 | task 57 | prompt eval time =    1558.30 ms /  1006 tokens (    1.55 ms per token,   645.60 tokens per second)
17.15.609 I slot print_timing: id  0 | task 57 |        eval time =   22941.10 ms /  1200 tokens (   19.12 ms per token,    52.30 tokens per second)
17.15.609 I slot print_timing: id  0 | task 57 | draft acceptance = 0.57576 (  760 accepted /  1320 generated)
17.15.609 I slot print_timing: id  0 | task 57 | reasoning effort = xhigh
17.51.479 I slot print_timing: id  0 | task 57 | prompt eval time =   27167.00 ms / 21306 tokens (    1.28 ms per token,   784.30 tokens per second)
17.51.479 I slot print_timing: id  0 | task 57 |        eval time =    8690.80 ms /   549 tokens (   15.83 ms per token,    63.20 tokens per second)
17.51.479 I slot print_timing: id  0 | task 57 | draft acceptance = 0.84914 (  394 accepted /   464 generated)
17.51.479 I slot print_timing: id  0 | task 57 | reasoning effort = medium
17.57.951 I slot print_timing: id  0 | task 58 | prompt eval time =    1737.30 ms /  1093 tokens (    1.59 ms per token,   629.20 tokens per second)  [21248 cached]
17.57.951 I slot print_timing: id  0 | task 58 |        eval time =    3952.50 ms /   276 tokens (   14.32 ms per token,    69.80 tokens per second)
17.57.951 I slot print_timing: id  0 | task 58 | draft acceptance = 0.96698 (  205 accepted /   212 generated)
17.57.951 I slot print_timing: id  0 | task 58 | reasoning effort = medium
18.50.665 I slot print_timing: id  0 | task 59 | prompt eval time =    2335.00 ms /  1499 tokens (    1.56 ms per token,   642.00 tokens per second)  [22272 cached]
18.50.665 I slot print_timing: id  0 | task 59 |        eval time =   50224.00 ms /  2868 tokens (   17.51 ms per token,    57.10 tokens per second)
18.50.665 I slot print_timing: id  0 | task 59 | draft acceptance = 0.74082 ( 1978 accepted /  2670 generated)
18.50.665 I slot print_timing: id  0 | task 59 | reasoning effort = medium
18.56.336 I slot print_timing: id  0 | task 60 | prompt eval time =    4798.10 ms /  3199 tokens (    1.50 ms per token,   666.70 tokens per second)  [23552 cached]
18.56.336 I slot print_timing: id  0 | task 60 |        eval time =     741.50 ms /    50 tokens (   14.83 ms per token,    67.40 tokens per second)
18.56.336 I slot print_timing: id  0 | task 60 | draft acceptance = 1.00000 (   37 accepted /    37 generated)
18.56.336 I slot print_timing: id  0 | task 60 | reasoning effort = medium
19.00.385 I slot print_timing: id  0 | task 61 | prompt eval time =     501.60 ms /   223 tokens (    2.25 ms per token,   444.50 tokens per second)  [26624 cached]
19.00.385 I slot print_timing: id  0 | task 61 |        eval time =    3419.50 ms /   228 tokens (   15.00 ms per token,    66.70 tokens per second)
19.00.385 I slot print_timing: id  0 | task 61 | draft acceptance = 0.92778 (  167 accepted /   180 generated)
19.00.385 I slot print_timing: id  0 | task 61 | reasoning effort = medium
19.03.853 I slot print_timing: id  0 | task 62 | prompt eval time =     996.40 ms /   534 tokens (    1.87 ms per token,   535.90 tokens per second)  [26624 cached]
19.03.853 I slot print_timing: id  0 | task 62 |        eval time =    2332.20 ms /   161 tokens (   14.49 ms per token,    69.00 tokens per second)
19.03.853 I slot print_timing: id  0 | task 62 | draft acceptance = 0.99174 (  120 accepted /   121 generated)
19.03.853 I slot print_timing: id  0 | task 62 | reasoning effort = medium
19.09.830 I slot print_timing: id  0 | task 63 | prompt eval time =     500.00 ms /   237 tokens (    2.11 ms per token,   474.00 tokens per second)  [27136 cached]
19.09.830 I slot print_timing: id  0 | task 63 |        eval time =    5342.40 ms /   362 tokens (   14.76 ms per token,    67.80 tokens per second)
19.09.830 I slot print_timing: id  0 | task 63 | draft acceptance = 0.93684 (  267 accepted /   285 generated)
19.09.830 I slot print_timing: id  0 | task 63 | reasoning effort = medium
19.13.630 I slot print_timing: id  0 | task 64 | prompt eval time =    1295.60 ms /   682 tokens (    1.90 ms per token,   526.40 tokens per second)  [27136 cached]
19.13.630 I slot print_timing: id  0 | task 64 |        eval time =    2368.00 ms /   165 tokens (   14.35 ms per token,    69.70 tokens per second)
19.13.630 I slot print_timing: id  0 | task 64 | draft acceptance = 0.97619 (  123 accepted /   126 generated)
19.13.630 I slot print_timing: id  0 | task 64 | reasoning effort = medium
19.16.030 I slot print_timing: id  0 | task 65 | prompt eval time =     934.70 ms /   420 tokens (    2.23 ms per token,   449.30 tokens per second)  [27648 cached]
19.16.030 I slot print_timing: id  0 | task 65 |        eval time =    1325.40 ms /    92 tokens (   14.41 ms per token,    69.40 tokens per second)
19.16.030 I slot print_timing: id  0 | task 65 | draft acceptance = 1.00000 (   69 accepted /    69 generated)
19.16.030 I slot print_timing: id  0 | task 65 | reasoning effort = medium
19.29.134 I slot print_timing: id  0 | task 66 | prompt eval time =     705.20 ms /   312 tokens (    2.26 ms per token,   442.40 tokens per second)  [27904 cached]
19.29.134 I slot print_timing: id  0 | task 66 |        eval time =   12265.40 ms /   790 tokens (   15.53 ms per token,    64.40 tokens per second)
19.29.134 I slot print_timing: id  0 | task 66 | draft acceptance = 0.88992 (  574 accepted /   645 generated)
19.29.134 I slot print_timing: id  0 | task 66 | reasoning effort = medium
19.49.529 I slot print_timing: id  0 | task 67 | prompt eval time =    1680.60 ms /   909 tokens (    1.85 ms per token,   540.90 tokens per second)  [28160 cached]
19.49.529 I slot print_timing: id  0 | task 67 |        eval time =   18578.50 ms /  1153 tokens (   16.11 ms per token,    62.10 tokens per second)
19.49.529 I slot print_timing: id  0 | task 67 | draft acceptance = 0.85552 (  829 accepted /   969 generated)
19.49.529 I slot print_timing: id  0 | task 67 | reasoning effort = medium
19.53.774 I slot print_timing: id  0 | task 68 | prompt eval time =    2143.80 ms /  1331 tokens (    1.61 ms per token,   620.90 tokens per second)  [28928 cached]
19.53.774 I slot print_timing: id  0 | task 68 |        eval time =    1963.80 ms /   123 tokens (   15.97 ms per token,    62.60 tokens per second)
19.53.774 I slot print_timing: id  0 | task 68 | draft acceptance = 0.88119 (   89 accepted /   101 generated)
19.53.774 I slot print_timing: id  0 | task 68 | reasoning effort = medium
20.09.595 I slot print_timing: id  0 | task 69 | prompt eval time =     863.70 ms /   259 tokens (    3.33 ms per token,   299.90 tokens per second)  [30208 cached]
20.09.595 I slot print_timing: id  0 | task 69 |        eval time =   14809.90 ms /  1031 tokens (   14.36 ms per token,    69.60 tokens per second)
20.09.595 I slot print_timing: id  0 | task 69 | draft acceptance = 0.99228 (  771 accepted /   777 generated)
20.09.595 I slot print_timing: id  0 | task 69 | reasoning effort = medium
20.12.937 I slot print_timing: id  0 | task 70 | prompt eval time =    2152.80 ms /  1119 tokens (    1.92 ms per token,   519.80 tokens per second)  [30464 cached]
20.12.937 I slot print_timing: id  0 | task 70 |        eval time =    1038.40 ms /    66 tokens (   15.73 ms per token,    63.60 tokens per second)
20.12.937 I slot print_timing: id  0 | task 70 | draft acceptance = 0.92308 (   48 accepted /    52 generated)
20.12.937 I slot print_timing: id  0 | task 70 | reasoning effort = medium
20.16.522 I slot print_timing: id  0 | task 71 | prompt eval time =     584.50 ms /   221 tokens (    2.64 ms per token,   378.10 tokens per second)  [31488 cached]
20.16.522 I slot print_timing: id  0 | task 71 |        eval time =    2338.40 ms /   146 tokens (   16.02 ms per token,    62.40 tokens per second)
20.16.522 I slot print_timing: id  0 | task 71 | draft acceptance = 0.87500 (  105 accepted /   120 generated)
20.16.522 I slot print_timing: id  0 | task 71 | reasoning effort = medium
20.21.472 I slot print_timing: id  0 | task 72 | prompt eval time =    1197.80 ms /   600 tokens (    2.00 ms per token,   500.90 tokens per second)  [31488 cached]
20.21.472 I slot print_timing: id  0 | task 72 |        eval time =    3472.80 ms /   213 tokens (   16.30 ms per token,    61.30 tokens per second)
20.21.472 I slot print_timing: id  0 | task 72 | draft acceptance = 0.83516 (  152 accepted /   182 generated)
20.21.472 I slot print_timing: id  0 | task 72 | reasoning effort = medium
20.23.303 I slot print_timing: id  0 | task 73 | prompt eval time =     821.30 ms /   345 tokens (    2.38 ms per token,   420.10 tokens per second)  [32000 cached]
20.23.303 I slot print_timing: id  0 | task 73 |        eval time =     865.30 ms /    59 tokens (   14.67 ms per token,    68.20 tokens per second)
20.23.303 I slot print_timing: id  0 | task 73 | draft acceptance = 1.00000 (   44 accepted /    44 generated)
20.23.303 I slot print_timing: id  0 | task 73 | reasoning effort = medium
21.03.606 I slot print_timing: id  0 | task 74 | prompt eval time =    2816.20 ms /  1708 tokens (    1.65 ms per token,   606.50 tokens per second)  [32256 cached]
21.03.606 I slot print_timing: id  0 | task 74 |        eval time =   37336.90 ms /  1918 tokens (   19.47 ms per token,    51.40 tokens per second)
21.03.606 I slot print_timing: id  0 | task 74 | draft acceptance = 0.66010 ( 1274 accepted /  1930 generated)
21.03.606 I slot print_timing: id  0 | task 74 | reasoning effort = medium
21.13.802 I slot print_timing: id  0 | task 75 | prompt eval time =    4266.80 ms /  2560 tokens (    1.67 ms per token,   600.00 tokens per second)  [33792 cached]
21.13.802 I slot print_timing: id  0 | task 75 |        eval time =    5143.80 ms /   324 tokens (   15.88 ms per token,    63.00 tokens per second)
21.13.802 I slot print_timing: id  0 | task 75 | draft acceptance = 0.89015 (  235 accepted /   264 generated)
21.13.802 I slot print_timing: id  0 | task 75 | reasoning effort = medium
21.21.730 I slot print_timing: id  0 | task 76 | prompt eval time =    1373.40 ms /   664 tokens (    2.07 ms per token,   483.50 tokens per second)  [36096 cached]
21.21.730 I slot print_timing: id  0 | task 76 |        eval time =    6383.40 ms /   404 tokens (   15.80 ms per token,    63.30 tokens per second)
21.21.730 I slot print_timing: id  0 | task 76 | draft acceptance = 0.89634 (  294 accepted /   328 generated)
21.21.730 I slot print_timing: id  0 | task 76 | reasoning effort = medium
22.36.922 I slot print_timing: id  0 | task 77 | prompt eval time =    1781.70 ms /   954 tokens (    1.87 ms per token,   535.40 tokens per second)  [36608 cached]
22.36.922 I slot print_timing: id  0 | task 77 |        eval time =   72563.00 ms /  3714 tokens (   19.54 ms per token,    51.20 tokens per second)
22.36.922 I slot print_timing: id  0 | task 77 | draft acceptance = 0.66523 ( 2474 accepted /  3719 generated)
22.36.922 I slot print_timing: id  0 | task 77 | reasoning effort = medium
23.02.293 I slot print_timing: id  0 | task 79 | prompt eval time =    1435.60 ms /  1004 tokens (    1.43 ms per token,   699.30 tokens per second)
23.02.293 I slot print_timing: id  0 | task 79 |        eval time =   21787.20 ms /  1327 tokens (   16.42 ms per token,    60.90 tokens per second)
23.02.293 I slot print_timing: id  0 | task 79 | draft acceptance = 0.72488 (  909 accepted /  1254 generated)
23.02.293 I slot print_timing: id  0 | task 79 | reasoning effort = xhigh
23.37.816 I slot print_timing: id  0 | task 79 | prompt eval time =   27140.50 ms / 21299 tokens (    1.27 ms per token,   784.80 tokens per second)
23.37.816 I slot print_timing: id  0 | task 79 |        eval time =    8374.90 ms /   517 tokens (   16.20 ms per token,    61.70 tokens per second)
23.37.816 I slot print_timing: id  0 | task 79 | draft acceptance = 0.81737 (  367 accepted /   449 generated)
23.37.816 I slot print_timing: id  0 | task 79 | reasoning effort = medium
23.43.987 I slot print_timing: id  0 | task 80 | prompt eval time =    1599.00 ms /  1053 tokens (    1.52 ms per token,   658.50 tokens per second)  [21248 cached]
23.43.987 I slot print_timing: id  0 | task 80 |        eval time =    3783.40 ms /   270 tokens (   14.01 ms per token,    71.40 tokens per second)
23.43.987 I slot print_timing: id  0 | task 80 | draft acceptance = 0.99020 (  202 accepted /   204 generated)
23.43.987 I slot print_timing: id  0 | task 80 | reasoning effort = medium
24.13.637 I slot print_timing: id  0 | task 81 | prompt eval time =    2250.10 ms /  1453 tokens (    1.55 ms per token,   645.70 tokens per second)  [22272 cached]
