0.57.243 I slot print_timing: id  0 | task 2 | prompt eval time =    3294.00 ms /   835 tokens (    3.94 ms per token,   253.50 tokens per second)
23.01.097 I slot print_timing: id  0 | task 17 |        eval time =    4095.80 ms /   190 tokens (   21.56 ms per token,    46.40 tokens per second)
23.01.097 I slot print_timing: id  0 | task 17 | draft acceptance = 0.73446 (  130 accepted /   177 generated)
23.01.097 I slot print_timing: id  0 | task 17 | reasoning effort = medium
23.20.117 I slot print_timing: id  0 | task 18 | prompt eval time =     882.60 ms /   308 tokens (    2.87 ms per token,   349.00 tokens per second)  [68096 cached]
23.20.117 I slot print_timing: id  0 | task 18 |        eval time =   17584.90 ms /   731 tokens (   24.06 ms per token,    41.60 tokens per second)
23.20.117 I slot print_timing: id  0 | task 18 | draft acceptance = 0.63830 (  480 accepted /   752 generated)
23.20.117 I slot print_timing: id  0 | task 18 | reasoning effort = medium
23.25.032 I slot print_timing: id  0 | task 19 | prompt eval time =    2173.40 ms /   927 tokens (    2.34 ms per token,   426.50 tokens per second)  [68352 cached]
23.25.032 I slot print_timing: id  0 | task 19 |        eval time =    2055.10 ms /   109 tokens (   18.85 ms per token,    53.00 tokens per second)
23.25.032 I slot print_timing: id  0 | task 19 | draft acceptance = 0.95238 (   80 accepted /    84 generated)
23.25.032 I slot print_timing: id  0 | task 19 | reasoning effort = medium
24.01.387 I slot print_timing: id  0 | task 20 | prompt eval time =    1009.40 ms /   324 tokens (    3.12 ms per token,   321.00 tokens per second)  [69120 cached]
24.01.387 I slot print_timing: id  0 | task 20 |        eval time =   34876.70 ms /  1378 tokens (   25.31 ms per token,    39.50 tokens per second)
24.01.387 I slot print_timing: id  0 | task 20 | draft acceptance = 0.60027 (  886 accepted /  1476 generated)
24.01.387 I slot print_timing: id  0 | task 20 | reasoning effort = medium
25.47.892 I slot print_timing: id  0 | task 22 | prompt eval time =    1424.40 ms /   844 tokens (    1.69 ms per token,   592.50 tokens per second)
25.47.892 I slot print_timing: id  0 | task 22 |        eval time =   13437.10 ms /   706 tokens (   19.03 ms per token,    52.50 tokens per second)
25.47.892 I slot print_timing: id  0 | task 22 | draft acceptance = 0.70796 (  480 accepted /   678 generated)
25.47.892 I slot print_timing: id  0 | task 22 | reasoning effort = xhigh
26.27.922 I slot print_timing: id  0 | task 22 | prompt eval time =   35795.60 ms / 27103 tokens (    1.32 ms per token,   757.20 tokens per second)
26.27.922 I slot print_timing: id  0 | task 22 |        eval time =    4216.90 ms /   223 tokens (   18.91 ms per token,    52.90 tokens per second)
26.27.922 I slot print_timing: id  0 | task 22 | draft acceptance = 0.78000 (  156 accepted /   200 generated)
26.27.922 I slot print_timing: id  0 | task 22 | reasoning effort = medium
26.36.566 I slot print_timing: id  0 | task 23 | prompt eval time =    3478.00 ms /  2219 tokens (    1.57 ms per token,   638.00 tokens per second)  [26880 cached]
26.36.566 I slot print_timing: id  0 | task 23 |        eval time =    4913.80 ms /   267 tokens (   18.40 ms per token,    54.30 tokens per second)
26.36.566 I slot print_timing: id  0 | task 23 | draft acceptance = 0.81116 (  189 accepted /   233 generated)
26.36.566 I slot print_timing: id  0 | task 23 | reasoning effort = medium
26.40.315 I slot print_timing: id  0 | task 24 | prompt eval time =    1171.20 ms /   580 tokens (    2.02 ms per token,   495.20 tokens per second)  [28928 cached]
26.40.315 I slot print_timing: id  0 | task 24 |        eval time =    2283.50 ms /   138 tokens (   16.55 ms per token,    60.40 tokens per second)
26.40.315 I slot print_timing: id  0 | task 24 | draft acceptance = 0.95327 (  102 accepted /   107 generated)
26.40.315 I slot print_timing: id  0 | task 24 | reasoning effort = medium
26.46.074 I slot print_timing: id  0 | task 25 | prompt eval time =     735.20 ms /   286 tokens (    2.57 ms per token,   389.00 tokens per second)  [29440 cached]
26.46.074 I slot print_timing: id  0 | task 25 |        eval time =    4186.20 ms /   224 tokens (   18.69 ms per token,    53.50 tokens per second)
26.46.074 I slot print_timing: id  0 | task 25 | draft acceptance = 0.78500 (  157 accepted /   200 generated)
26.46.074 I slot print_timing: id  0 | task 25 | reasoning effort = medium
26.50.168 I slot print_timing: id  0 | task 26 | prompt eval time =    1036.40 ms /   530 tokens (    1.96 ms per token,   511.40 tokens per second)  [29696 cached]
26.50.168 I slot print_timing: id  0 | task 26 |        eval time =    2736.80 ms /   156 tokens (   17.54 ms per token,    57.00 tokens per second)
26.50.168 I slot print_timing: id  0 | task 26 | draft acceptance = 0.86822 (  112 accepted /   129 generated)
26.50.168 I slot print_timing: id  0 | task 26 | reasoning effort = medium
29.11.092 I slot print_timing: id  0 | task 27 | prompt eval time =   13267.70 ms /  8389 tokens (    1.58 ms per token,   632.30 tokens per second)  [30208 cached]
29.11.092 I slot print_timing: id  0 | task 27 |        eval time =  127370.20 ms /  5004 tokens (   25.45 ms per token,    39.30 tokens per second)
29.11.092 I slot print_timing: id  0 | task 27 | draft acceptance = 0.51294 ( 3033 accepted /  5913 generated)
29.11.092 I slot print_timing: id  0 | task 27 | reasoning effort = medium
32.36.102 I slot print_timing: id  0 | task 28 | prompt eval time =    9050.70 ms /  5351 tokens (    1.69 ms per token,   591.20 tokens per second)  [38400 cached]
32.36.102 I slot print_timing: id  0 | task 28 |        eval time =  195550.70 ms / 10773 tokens (   18.15 ms per token,    55.10 tokens per second)
32.36.102 I slot print_timing: id  0 | task 28 | draft acceptance = 0.86327 ( 7772 accepted /  9003 generated)
32.36.102 I slot print_timing: id  0 | task 28 | reasoning effort = medium
33.15.110 I slot print_timing: id  0 | task 29 | prompt eval time =   19494.20 ms / 11104 tokens (    1.76 ms per token,   569.60 tokens per second)  [43520 cached]
33.15.110 I slot print_timing: id  0 | task 29 |        eval time =   19140.20 ms /   718 tokens (   26.66 ms per token,    37.50 tokens per second)
33.15.110 I slot print_timing: id  0 | task 29 | draft acceptance = 0.51358 (  435 accepted /   847 generated)
33.15.110 I slot print_timing: id  0 | task 29 | reasoning effort = medium
