178.50.969 I slot print_timing: id  0 | task 285 | prompt eval time =    2174.50 ms /   943 tokens (    2.31 ms per token,   433.70 tokens per second)  [66816 cached]
182.10.105 I slot print_timing: id  0 | task 297 | prompt eval time =     966.30 ms /   405 tokens (    2.39 ms per token,   419.10 tokens per second)  [27392 cached]
182.10.105 I slot print_timing: id  0 | task 297 |        eval time =    2863.70 ms /   142 tokens (   20.17 ms per token,    49.60 tokens per second)
182.10.105 I slot print_timing: id  0 | task 297 | draft acceptance = 0.75969 (   98 accepted /   129 generated)
182.10.105 I slot print_timing: id  0 | task 297 | reasoning effort = medium
182.14.226 I slot print_timing: id  0 | task 298 | prompt eval time =    1018.20 ms /   524 tokens (    1.94 ms per token,   514.60 tokens per second)  [27648 cached]
182.14.226 I slot print_timing: id  0 | task 298 |        eval time =    2722.10 ms /   132 tokens (   20.62 ms per token,    48.50 tokens per second)
182.14.226 I slot print_timing: id  0 | task 298 | draft acceptance = 0.70635 (   89 accepted /   126 generated)
182.14.226 I slot print_timing: id  0 | task 298 | reasoning effort = medium
182.45.095 I slot print_timing: id  0 | task 299 | prompt eval time =    2153.60 ms /  1279 tokens (    1.68 ms per token,   593.90 tokens per second)  [28160 cached]
182.45.095 I slot print_timing: id  0 | task 299 |        eval time =   28471.70 ms /  1306 tokens (   21.80 ms per token,    45.90 tokens per second)
182.45.095 I slot print_timing: id  0 | task 299 | draft acceptance = 0.66058 (  868 accepted /  1314 generated)
182.45.095 I slot print_timing: id  0 | task 299 | reasoning effort = medium
183.08.043 I slot print_timing: id  0 | task 300 | prompt eval time =    3320.40 ms /  2078 tokens (    1.60 ms per token,   625.80 tokens per second)  [29184 cached]
183.08.043 I slot print_timing: id  0 | task 300 |        eval time =   18980.20 ms /   793 tokens (   23.93 ms per token,    41.80 tokens per second)
183.08.043 I slot print_timing: id  0 | task 300 | draft acceptance = 0.56576 (  499 accepted /   882 generated)
183.08.043 I slot print_timing: id  0 | task 300 | reasoning effort = medium
183.43.544 I slot print_timing: id  0 | task 301 | prompt eval time =    1791.20 ms /  1032 tokens (    1.74 ms per token,   576.10 tokens per second)  [31232 cached]
183.43.544 I slot print_timing: id  0 | task 301 |        eval time =   32171.30 ms /  1602 tokens (   20.08 ms per token,    49.80 tokens per second)
183.43.544 I slot print_timing: id  0 | task 301 | draft acceptance = 0.76596 ( 1116 accepted /  1457 generated)
183.43.544 I slot print_timing: id  0 | task 301 | reasoning effort = medium
184.32.046 I slot print_timing: id  0 | task 303 | prompt eval time =    2021.40 ms /   999 tokens (    2.02 ms per token,   494.20 tokens per second)
184.32.046 I slot print_timing: id  0 | task 303 |        eval time =   43957.10 ms /  1697 tokens (   25.90 ms per token,    38.60 tokens per second)
184.32.046 I slot print_timing: id  0 | task 303 | draft acceptance = 0.51246 ( 1028 accepted /  2006 generated)
184.32.046 I slot print_timing: id  0 | task 303 | reasoning effort = xhigh
185.08.112 I slot print_timing: id  0 | task 303 | prompt eval time =   28451.90 ms / 21541 tokens (    1.32 ms per token,   757.10 tokens per second)
185.08.112 I slot print_timing: id  0 | task 303 |        eval time =    7593.80 ms /   383 tokens (   19.83 ms per token,    50.40 tokens per second)
185.08.112 I slot print_timing: id  0 | task 303 | draft acceptance = 0.79646 (  270 accepted /   339 generated)
185.08.112 I slot print_timing: id  0 | task 303 | reasoning effort = medium
185.14.187 I slot print_timing: id  0 | task 304 | prompt eval time =    2204.60 ms /  1382 tokens (    1.60 ms per token,   626.90 tokens per second)  [21504 cached]
185.14.187 I slot print_timing: id  0 | task 304 |        eval time =    3647.00 ms /   212 tokens (   17.20 ms per token,    58.10 tokens per second)
185.14.187 I slot print_timing: id  0 | task 304 | draft acceptance = 0.87931 (  153 accepted /   174 generated)
185.14.187 I slot print_timing: id  0 | task 304 | reasoning effort = medium
185.19.934 I slot print_timing: id  0 | task 305 | prompt eval time =    3776.30 ms /  2392 tokens (    1.58 ms per token,   633.40 tokens per second)  [22784 cached]
185.19.934 I slot print_timing: id  0 | task 305 |        eval time =    1767.80 ms /   101 tokens (   17.50 ms per token,    57.10 tokens per second)
185.19.934 I slot print_timing: id  0 | task 305 | draft acceptance = 0.86905 (   73 accepted /    84 generated)
185.19.934 I slot print_timing: id  0 | task 305 | reasoning effort = medium
185.26.196 I slot print_timing: id  0 | task 306 | prompt eval time =    1202.50 ms /   613 tokens (    1.96 ms per token,   509.80 tokens per second)  [25088 cached]
185.26.196 I slot print_timing: id  0 | task 306 |        eval time =    4144.90 ms /   264 tokens (   15.70 ms per token,    63.70 tokens per second)
185.26.196 I slot print_timing: id  0 | task 306 | draft acceptance = 0.98995 (  197 accepted /   199 generated)
185.26.196 I slot print_timing: id  0 | task 306 | reasoning effort = medium
186.22.265 I slot print_timing: id  0 | task 307 | prompt eval time =    2528.80 ms /  1604 tokens (    1.58 ms per token,   634.30 tokens per second)  [25600 cached]
186.22.265 I slot print_timing: id  0 | task 307 |        eval time =   53228.90 ms /  2672 tokens (   19.92 ms per token,    50.20 tokens per second)
186.22.265 I slot print_timing: id  0 | task 307 | draft acceptance = 0.73166 ( 1835 accepted /  2508 generated)
186.22.265 I slot print_timing: id  0 | task 307 | reasoning effort = medium
186.42.869 I slot print_timing: id  0 | task 308 | prompt eval time =    4504.40 ms /  2780 tokens (    1.62 ms per token,   617.20 tokens per second)  [27136 cached]
186.42.869 I slot print_timing: id  0 | task 308 |        eval time =   15708.90 ms /   900 tokens (   17.45 ms per token,    57.30 tokens per second)
186.42.869 I slot print_timing: id  0 | task 308 | draft acceptance = 0.88482 (  653 accepted /   738 generated)
186.42.869 I slot print_timing: id  0 | task 308 | reasoning effort = medium
186.51.505 I slot print_timing: id  0 | task 309 | prompt eval time =    2038.20 ms /  1201 tokens (    1.70 ms per token,   589.20 tokens per second)  [29696 cached]
186.51.505 I slot print_timing: id  0 | task 309 |        eval time =    6320.90 ms /   374 tokens (   16.90 ms per token,    59.20 tokens per second)
186.51.505 I slot print_timing: id  0 | task 309 | draft acceptance = 0.92593 (  275 accepted /   297 generated)
186.51.505 I slot print_timing: id  0 | task 309 | reasoning effort = medium
186.56.048 I slot print_timing: id  0 | task 310 | prompt eval time =    1278.80 ms /   632 tokens (    2.02 ms per token,   494.20 tokens per second)  [30720 cached]
186.56.048 I slot print_timing: id  0 | task 310 |        eval time =    2989.00 ms /   173 tokens (   17.28 ms per token,    57.90 tokens per second)
186.56.048 I slot print_timing: id  0 | task 310 | draft acceptance = 0.88028 (  125 accepted /   142 generated)
186.56.048 I slot print_timing: id  0 | task 310 | reasoning effort = medium
187.03.594 I slot print_timing: id  0 | task 311 | prompt eval time =     976.70 ms /   376 tokens (    2.60 ms per token,   385.00 tokens per second)  [31232 cached]
187.03.594 I slot print_timing: id  0 | task 311 |        eval time =    6294.70 ms /   369 tokens (   17.06 ms per token,    58.60 tokens per second)
187.03.594 I slot print_timing: id  0 | task 311 | draft acceptance = 0.90268 (  269 accepted /   298 generated)
187.03.594 I slot print_timing: id  0 | task 311 | reasoning effort = medium
187.43.967 I slot print_timing: id  0 | task 312 | prompt eval time =    1361.40 ms /   653 tokens (    2.08 ms per token,   479.60 tokens per second)  [31488 cached]
187.43.967 I slot print_timing: id  0 | task 312 |        eval time =   38725.20 ms /  2022 tokens (   19.15 ms per token,    52.20 tokens per second)
187.43.967 I slot print_timing: id  0 | task 312 | draft acceptance = 0.79464 ( 1424 accepted /  1792 generated)
187.43.967 I slot print_timing: id  0 | task 312 | reasoning effort = medium
188.01.947 I slot print_timing: id  0 | task 313 | prompt eval time =    3601.30 ms /  2207 tokens (    1.63 ms per token,   612.80 tokens per second)  [32000 cached]
188.01.947 I slot print_timing: id  0 | task 313 |        eval time =   14087.70 ms /   879 tokens (   16.03 ms per token,    62.40 tokens per second)
188.01.947 I slot print_timing: id  0 | task 313 | draft acceptance = 0.98498 (  656 accepted /   666 generated)
188.01.947 I slot print_timing: id  0 | task 313 | reasoning effort = medium
188.10.001 I slot print_timing: id  0 | task 314 | prompt eval time =    1983.90 ms /  1121 tokens (    1.77 ms per token,   565.00 tokens per second)  [34048 cached]
188.10.001 I slot print_timing: id  0 | task 314 |        eval time =    5769.60 ms /   256 tokens (   22.54 ms per token,    44.40 tokens per second)
188.10.001 I slot print_timing: id  0 | task 314 | draft acceptance = 0.62172 (  166 accepted /   267 generated)
188.10.001 I slot print_timing: id  0 | task 314 | reasoning effort = medium
188.15.016 I slot print_timing: id  0 | task 315 | prompt eval time =    1018.80 ms /   415 tokens (    2.45 ms per token,   407.30 tokens per second)  [35072 cached]
188.15.016 I slot print_timing: id  0 | task 315 |        eval time =    3203.70 ms /   182 tokens (   17.60 ms per token,    56.80 tokens per second)
188.15.016 I slot print_timing: id  0 | task 315 | draft acceptance = 0.89189 (  132 accepted /   148 generated)
188.15.016 I slot print_timing: id  0 | task 315 | reasoning effort = medium
188.50.760 I slot print_timing: id  0 | task 316 | prompt eval time =    3019.10 ms /  1758 tokens (    1.72 ms per token,   582.30 tokens per second)  [35328 cached]
188.50.760 I slot print_timing: id  0 | task 316 |        eval time =   32279.60 ms /  1445 tokens (   22.34 ms per token,    44.80 tokens per second)
188.50.760 I slot print_timing: id  0 | task 316 | draft acceptance = 0.64170 (  951 accepted /  1482 generated)
188.50.760 I slot print_timing: id  0 | task 316 | reasoning effort = medium
188.58.773 I slot print_timing: id  0 | task 317 | prompt eval time =    3875.10 ms /  2258 tokens (    1.72 ms per token,   582.70 tokens per second)  [36864 cached]
188.58.773 I slot print_timing: id  0 | task 317 |        eval time =    3593.70 ms /   174 tokens (   20.65 ms per token,    48.40 tokens per second)
188.58.773 I slot print_timing: id  0 | task 317 | draft acceptance = 0.71515 (  118 accepted /   165 generated)
188.58.773 I slot print_timing: id  0 | task 317 | reasoning effort = medium
189.06.497 I slot print_timing: id  0 | task 318 | prompt eval time =    1042.10 ms /   430 tokens (    2.42 ms per token,   412.60 tokens per second)  [38912 cached]
189.06.497 I slot print_timing: id  0 | task 318 |        eval time =    6238.10 ms /   332 tokens (   18.79 ms per token,    53.20 tokens per second)
189.06.497 I slot print_timing: id  0 | task 318 | draft acceptance = 0.82230 (  236 accepted /   287 generated)
189.06.497 I slot print_timing: id  0 | task 318 | reasoning effort = medium
189.26.297 I slot print_timing: id  0 | task 319 | prompt eval time =    1598.20 ms /   673 tokens (    2.37 ms per token,   421.10 tokens per second)  [39168 cached]
189.26.297 I slot print_timing: id  0 | task 319 |        eval time =   16635.70 ms /   854 tokens (   19.48 ms per token,    51.30 tokens per second)
189.26.297 I slot print_timing: id  0 | task 319 | draft acceptance = 0.79497 (  601 accepted /   756 generated)
189.26.297 I slot print_timing: id  0 | task 319 | reasoning effort = medium
189.43.871 I slot print_timing: id  0 | task 320 | prompt eval time =    2324.10 ms /  1267 tokens (    1.83 ms per token,   545.20 tokens per second)  [39680 cached]
189.43.871 I slot print_timing: id  0 | task 320 |        eval time =   14774.80 ms /   800 tokens (   18.47 ms per token,    54.10 tokens per second)
189.43.871 I slot print_timing: id  0 | task 320 | draft acceptance = 0.87330 (  579 accepted /   663 generated)
189.43.871 I slot print_timing: id  0 | task 320 | reasoning effort = medium
190.12.705 I slot print_timing: id  0 | task 322 | prompt eval time =    1500.10 ms /   992 tokens (    1.51 ms per token,   661.30 tokens per second)
190.12.705 I slot print_timing: id  0 | task 322 |        eval time =   24924.90 ms /  1037 tokens (   24.04 ms per token,    41.60 tokens per second)
190.12.705 I slot print_timing: id  0 | task 322 | draft acceptance = 0.51223 (  628 accepted /  1226 generated)
190.12.705 I slot print_timing: id  0 | task 322 | reasoning effort = xhigh
190.47.133 I slot print_timing: id  0 | task 322 | prompt eval time =   27567.50 ms / 21178 tokens (    1.30 ms per token,   768.20 tokens per second)
190.47.133 I slot print_timing: id  0 | task 322 |        eval time =    6843.90 ms /   386 tokens (   17.73 ms per token,    56.40 tokens per second)
190.47.133 I slot print_timing: id  0 | task 322 | draft acceptance = 0.85802 (  278 accepted /   324 generated)
190.47.133 I slot print_timing: id  0 | task 322 | reasoning effort = medium
190.54.171 I slot print_timing: id  0 | task 323 | prompt eval time =    1742.30 ms /  1058 tokens (    1.65 ms per token,   607.20 tokens per second)  [20992 cached]
190.54.171 I slot print_timing: id  0 | task 323 |        eval time =    4307.10 ms /   275 tokens (   15.66 ms per token,    63.80 tokens per second)
190.54.171 I slot print_timing: id  0 | task 323 | draft acceptance = 0.98558 (  205 accepted /   208 generated)
190.54.171 I slot print_timing: id  0 | task 323 | reasoning effort = medium
191.38.106 I slot print_timing: id  0 | task 324 | prompt eval time =    2324.90 ms /  1463 tokens (    1.59 ms per token,   629.30 tokens per second)  [22016 cached]
191.38.106 I slot print_timing: id  0 | task 324 |        eval time =   41303.10 ms /  2149 tokens (   19.22 ms per token,    52.00 tokens per second)
191.38.106 I slot print_timing: id  0 | task 324 | draft acceptance = 0.76108 ( 1494 accepted /  1963 generated)
191.38.106 I slot print_timing: id  0 | task 324 | reasoning effort = medium
191.47.845 I slot print_timing: id  0 | task 325 | prompt eval time =    3910.30 ms /  2465 tokens (    1.59 ms per token,   630.40 tokens per second)  [23296 cached]
191.47.845 I slot print_timing: id  0 | task 325 |        eval time =    5585.20 ms /   349 tokens (   16.00 ms per token,    62.50 tokens per second)
191.47.845 I slot print_timing: id  0 | task 325 | draft acceptance = 0.95926 (  259 accepted /   270 generated)
191.47.845 I slot print_timing: id  0 | task 325 | reasoning effort = medium
191.52.106 I slot print_timing: id  0 | task 326 | prompt eval time =    1149.60 ms /   593 tokens (    1.94 ms per token,   515.80 tokens per second)  [25600 cached]
191.52.106 I slot print_timing: id  0 | task 326 |        eval time =    2878.90 ms /   175 tokens (   16.45 ms per token,    60.80 tokens per second)
191.52.106 I slot print_timing: id  0 | task 326 | draft acceptance = 0.95556 (  129 accepted /   135 generated)
191.52.106 I slot print_timing: id  0 | task 326 | reasoning effort = medium
192.00.198 I slot print_timing: id  0 | task 327 | prompt eval time =     817.50 ms /   341 tokens (    2.40 ms per token,   417.20 tokens per second)  [26112 cached]
192.00.198 I slot print_timing: id  0 | task 327 |        eval time =    7041.00 ms /   436 tokens (   16.15 ms per token,    61.90 tokens per second)
192.00.198 I slot print_timing: id  0 | task 327 | draft acceptance = 0.94152 (  322 accepted /   342 generated)
192.00.198 I slot print_timing: id  0 | task 327 | reasoning effort = medium
192.09.415 I slot print_timing: id  0 | task 328 | prompt eval time =    1188.30 ms /   602 tokens (    1.97 ms per token,   506.60 tokens per second)  [26368 cached]
192.09.415 I slot print_timing: id  0 | task 328 |        eval time =    7792.60 ms /   470 tokens (   16.58 ms per token,    60.30 tokens per second)
192.09.415 I slot print_timing: id  0 | task 328 | draft acceptance = 0.92742 (  345 accepted /   372 generated)
192.09.415 I slot print_timing: id  0 | task 328 | reasoning effort = medium
192.24.796 I slot print_timing: id  0 | task 329 | prompt eval time =    1314.10 ms /   648 tokens (    2.03 ms per token,   493.10 tokens per second)  [26880 cached]
192.24.796 I slot print_timing: id  0 | task 329 |        eval time =   13824.90 ms /   833 tokens (   16.60 ms per token,    60.30 tokens per second)
192.24.796 I slot print_timing: id  0 | task 329 | draft acceptance = 0.91592 (  610 accepted /   666 generated)
192.24.796 I slot print_timing: id  0 | task 329 | reasoning effort = medium
192.27.851 I slot print_timing: id  0 | task 330 | prompt eval time =    1756.90 ms /  1054 tokens (    1.67 ms per token,   599.90 tokens per second)  [27392 cached]
192.27.851 I slot print_timing: id  0 | task 330 |        eval time =    1054.30 ms /    60 tokens (   17.57 ms per token,    56.90 tokens per second)
192.27.851 I slot print_timing: id  0 | task 330 | draft acceptance = 0.87755 (   43 accepted /    49 generated)
192.27.851 I slot print_timing: id  0 | task 330 | reasoning effort = medium
192.31.430 I slot print_timing: id  0 | task 331 | prompt eval time =     515.70 ms /   235 tokens (    2.19 ms per token,   455.70 tokens per second)  [28416 cached]
192.31.430 I slot print_timing: id  0 | task 331 |        eval time =    2328.10 ms /   133 tokens (   17.50 ms per token,    57.10 tokens per second)
192.31.430 I slot print_timing: id  0 | task 331 | draft acceptance = 0.86486 (   96 accepted /   111 generated)
192.31.430 I slot print_timing: id  0 | task 331 | reasoning effort = medium
192.44.351 I slot print_timing: id  0 | task 332 | prompt eval time =    1207.70 ms /   601 tokens (    2.01 ms per token,   497.60 tokens per second)  [28416 cached]
192.44.351 I slot print_timing: id  0 | task 332 |        eval time =   11326.60 ms /   537 tokens (   21.09 ms per token,    47.40 tokens per second)
192.44.351 I slot print_timing: id  0 | task 332 | draft acceptance = 0.67608 (  359 accepted /   531 generated)
192.44.351 I slot print_timing: id  0 | task 332 | reasoning effort = medium
193.18.285 I slot print_timing: id  0 | task 334 | prompt eval time =    1631.90 ms /   956 tokens (    1.71 ms per token,   585.80 tokens per second)
193.18.285 I slot print_timing: id  0 | task 334 |        eval time =   11375.70 ms /   507 tokens (   22.44 ms per token,    44.60 tokens per second)
193.18.285 I slot print_timing: id  0 | task 334 | draft acceptance = 0.53333 (  312 accepted /   585 generated)
193.18.285 I slot print_timing: id  0 | task 334 | reasoning effort = xhigh
193.49.926 I slot print_timing: id  0 | task 334 | prompt eval time =   27775.40 ms / 21500 tokens (    1.29 ms per token,   774.10 tokens per second)
193.49.926 I slot print_timing: id  0 | task 334 |        eval time =    3850.70 ms /   201 tokens (   19.16 ms per token,    52.20 tokens per second)
193.49.926 I slot print_timing: id  0 | task 334 | draft acceptance = 0.77778 (  140 accepted /   180 generated)
193.49.926 I slot print_timing: id  0 | task 334 | reasoning effort = medium
193.55.537 I slot print_timing: id  0 | task 335 | prompt eval time =    2121.60 ms /  1354 tokens (    1.57 ms per token,   638.20 tokens per second)  [21248 cached]
193.55.537 I slot print_timing: id  0 | task 335 |        eval time =    3283.50 ms /   164 tokens (   20.02 ms per token,    49.90 tokens per second)
193.55.537 I slot print_timing: id  0 | task 335 | draft acceptance = 0.71154 (  111 accepted /   156 generated)
193.55.537 I slot print_timing: id  0 | task 335 | reasoning effort = medium
194.02.294 I slot print_timing: id  0 | task 336 | prompt eval time =    3961.10 ms /  2317 tokens (    1.71 ms per token,   584.90 tokens per second)  [22528 cached]
194.02.294 I slot print_timing: id  0 | task 336 |        eval time =    2596.10 ms /   152 tokens (   17.08 ms per token,    58.60 tokens per second)
194.02.294 I slot print_timing: id  0 | task 336 | draft acceptance = 0.89431 (  110 accepted /   123 generated)
194.02.294 I slot print_timing: id  0 | task 336 | reasoning effort = medium
194.05.437 I slot print_timing: id  0 | task 337 | prompt eval time =    1310.80 ms /   770 tokens (    1.70 ms per token,   587.40 tokens per second)  [24832 cached]
194.05.437 I slot print_timing: id  0 | task 337 |        eval time =     931.80 ms /    56 tokens (   16.64 ms per token,    60.10 tokens per second)
194.05.437 I slot print_timing: id  0 | task 337 | draft acceptance = 0.93182 (   41 accepted /    44 generated)
194.05.437 I slot print_timing: id  0 | task 337 | reasoning effort = medium
196.29.995 I slot print_timing: id  0 | task 338 | prompt eval time =     865.20 ms /   366 tokens (    2.36 ms per token,   423.00 tokens per second)  [25600 cached]
196.29.995 I slot print_timing: id  0 | task 338 |        eval time =  143455.10 ms /  6384 tokens (   22.47 ms per token,    44.50 tokens per second)
196.29.995 I slot print_timing: id  0 | task 338 | draft acceptance = 0.61371 ( 4137 accepted /  6741 generated)
196.29.995 I slot print_timing: id  0 | task 338 | reasoning effort = medium
198.16.469 I slot print_timing: id  0 | task 339 | prompt eval time =   12174.30 ms /  7986 tokens (    1.52 ms per token,   656.00 tokens per second)  [25856 cached]
198.16.469 I slot print_timing: id  0 | task 339 |        eval time =   93410.10 ms /  4129 tokens (   22.62 ms per token,    44.20 tokens per second)
198.16.469 I slot print_timing: id  0 | task 339 | draft acceptance = 0.62075 ( 2686 accepted /  4327 generated)
198.16.469 I slot print_timing: id  0 | task 339 | reasoning effort = medium
200.10.171 I slot print_timing: id  0 | task 340 | prompt eval time =    7605.80 ms /  4590 tokens (    1.66 ms per token,   603.50 tokens per second)  [33792 cached]
200.10.171 I slot print_timing: id  0 | task 340 |        eval time =  105653.00 ms /  5175 tokens (   20.42 ms per token,    49.00 tokens per second)
200.10.171 I slot print_timing: id  0 | task 340 | draft acceptance = 0.74293 ( 3572 accepted /  4808 generated)
200.10.171 I slot print_timing: id  0 | task 340 | reasoning effort = medium
200.34.138 I slot print_timing: id  0 | task 341 | prompt eval time =    9229.10 ms /  5481 tokens (    1.68 ms per token,   593.90 tokens per second)  [38144 cached]
200.34.138 I slot print_timing: id  0 | task 341 |        eval time =   14376.00 ms /   686 tokens (   20.96 ms per token,    47.70 tokens per second)
200.34.138 I slot print_timing: id  0 | task 341 | draft acceptance = 0.72265 (  469 accepted /   649 generated)
200.34.138 I slot print_timing: id  0 | task 341 | reasoning effort = medium
201.18.260 I slot print_timing: id  0 | task 342 | prompt eval time =    1780.60 ms /  1025 tokens (    1.74 ms per token,   575.60 tokens per second)  [43520 cached]
201.18.260 I slot print_timing: id  0 | task 342 |        eval time =   41154.80 ms /  2027 tokens (   20.30 ms per token,    49.30 tokens per second)
201.18.260 I slot print_timing: id  0 | task 342 | draft acceptance = 0.76477 ( 1411 accepted /  1845 generated)
201.18.260 I slot print_timing: id  0 | task 342 | reasoning effort = medium
202.02.171 I slot print_timing: id  0 | task 344 | prompt eval time =    1504.10 ms /   963 tokens (    1.56 ms per token,   640.30 tokens per second)
202.02.171 I slot print_timing: id  0 | task 344 |        eval time =   40690.50 ms /  1644 tokens (   24.75 ms per token,    40.40 tokens per second)
202.02.171 I slot print_timing: id  0 | task 344 | draft acceptance = 0.52292 ( 1004 accepted /  1920 generated)
202.02.171 I slot print_timing: id  0 | task 344 | reasoning effort = xhigh
202.34.202 I slot print_timing: id  0 | task 344 | prompt eval time =   28447.80 ms / 21258 tokens (    1.34 ms per token,   747.30 tokens per second)
202.34.202 I slot print_timing: id  0 | task 344 |        eval time =    3563.70 ms /   190 tokens (   18.76 ms per token,    53.30 tokens per second)
202.34.202 I slot print_timing: id  0 | task 344 | draft acceptance = 0.89032 (  138 accepted /   155 generated)
202.34.202 I slot print_timing: id  0 | task 344 | reasoning effort = medium
202.38.681 I slot print_timing: id  0 | task 345 | prompt eval time =    1859.40 ms /  1062 tokens (    1.75 ms per token,   571.20 tokens per second)  [21248 cached]
