62.28.133 I slot print_timing: id  0 | task 248 | prompt eval time =   27394.10 ms / 21308 tokens (    1.29 ms per token,   777.80 tokens per second)
70.56.997 I slot print_timing: id  0 | task 288 | reasoning effort = medium
71.08.491 I slot print_timing: id  0 | task 289 | prompt eval time =     898.20 ms /   370 tokens (    2.43 ms per token,   411.90 tokens per second)  [32512 cached]
71.08.491 I slot print_timing: id  0 | task 289 |        eval time =   10438.60 ms /   691 tokens (   15.11 ms per token,    66.20 tokens per second)
71.08.491 I slot print_timing: id  0 | task 289 | draft acceptance = 0.94096 (  510 accepted /   542 generated)
71.08.491 I slot print_timing: id  0 | task 289 | reasoning effort = medium
71.11.337 I slot print_timing: id  0 | task 290 | prompt eval time =    1643.70 ms /   889 tokens (    1.85 ms per token,   540.90 tokens per second)  [32768 cached]
71.11.337 I slot print_timing: id  0 | task 290 |        eval time =    1040.10 ms /    66 tokens (   15.76 ms per token,    63.50 tokens per second)
71.11.337 I slot print_timing: id  0 | task 290 | draft acceptance = 0.88889 (   48 accepted /    54 generated)
71.11.337 I slot print_timing: id  0 | task 290 | reasoning effort = medium
71.15.496 I slot print_timing: id  0 | task 291 | prompt eval time =     535.80 ms /   247 tokens (    2.17 ms per token,   461.00 tokens per second)  [33536 cached]
71.15.496 I slot print_timing: id  0 | task 291 |        eval time =    2961.90 ms /   174 tokens (   17.02 ms per token,    58.70 tokens per second)
71.15.496 I slot print_timing: id  0 | task 291 | draft acceptance = 0.80392 (  123 accepted /   153 generated)
71.15.496 I slot print_timing: id  0 | task 291 | reasoning effort = medium
71.17.895 I slot print_timing: id  0 | task 292 | prompt eval time =    1072.80 ms /   477 tokens (    2.25 ms per token,   444.60 tokens per second)  [33536 cached]
71.17.895 I slot print_timing: id  0 | task 292 |        eval time =    1174.00 ms /    65 tokens (   18.06 ms per token,    55.40 tokens per second)
71.17.895 I slot print_timing: id  0 | task 292 | draft acceptance = 0.77586 (   45 accepted /    58 generated)
71.17.895 I slot print_timing: id  0 | task 292 | reasoning effort = medium
71.39.367 I slot print_timing: id  0 | task 293 | prompt eval time =    2594.60 ms /  1578 tokens (    1.64 ms per token,   608.20 tokens per second)  [33792 cached]
71.39.367 I slot print_timing: id  0 | task 293 |        eval time =   18717.00 ms /  1082 tokens (   17.30 ms per token,    57.80 tokens per second)
71.39.367 I slot print_timing: id  0 | task 293 | draft acceptance = 0.78328 (  759 accepted /   969 generated)
71.39.367 I slot print_timing: id  0 | task 293 | reasoning effort = medium
72.06.432 I slot print_timing: id  0 | task 294 | prompt eval time =    2636.30 ms /  1590 tokens (    1.66 ms per token,   603.10 tokens per second)  [35328 cached]
72.06.432 I slot print_timing: id  0 | task 294 |        eval time =   23589.90 ms /  1310 tokens (   18.01 ms per token,    55.50 tokens per second)
72.06.432 I slot print_timing: id  0 | task 294 | draft acceptance = 0.75687 (  909 accepted /  1201 generated)
72.06.432 I slot print_timing: id  0 | task 294 | reasoning effort = medium
72.35.010 I slot print_timing: id  0 | task 296 | prompt eval time =    1454.40 ms /  1004 tokens (    1.45 ms per token,   690.30 tokens per second)
72.35.010 I slot print_timing: id  0 | task 296 |        eval time =   24918.20 ms /  1476 tokens (   16.88 ms per token,    59.20 tokens per second)
72.35.010 I slot print_timing: id  0 | task 296 | draft acceptance = 0.69215 (  996 accepted /  1439 generated)
72.35.010 I slot print_timing: id  0 | task 296 | reasoning effort = xhigh
73.10.259 I slot print_timing: id  0 | task 296 | prompt eval time =   27200.40 ms / 21301 tokens (    1.28 ms per token,   783.10 tokens per second)
73.10.259 I slot print_timing: id  0 | task 296 |        eval time =    8039.40 ms /   511 tokens (   15.73 ms per token,    63.60 tokens per second)
73.10.259 I slot print_timing: id  0 | task 296 | draft acceptance = 0.85349 (  367 accepted /   430 generated)
73.10.259 I slot print_timing: id  0 | task 296 | reasoning effort = medium
73.16.497 I slot print_timing: id  0 | task 297 | prompt eval time =    1642.60 ms /  1049 tokens (    1.57 ms per token,   638.60 tokens per second)  [21248 cached]
73.16.497 I slot print_timing: id  0 | task 297 |        eval time =    3752.40 ms /   270 tokens (   13.90 ms per token,    72.00 tokens per second)
73.16.497 I slot print_timing: id  0 | task 297 | draft acceptance = 1.00000 (  202 accepted /   202 generated)
73.16.497 I slot print_timing: id  0 | task 297 | reasoning effort = medium
74.12.295 I slot print_timing: id  0 | task 298 | prompt eval time =    2268.60 ms /  1449 tokens (    1.57 ms per token,   638.70 tokens per second)  [22272 cached]
74.12.295 I slot print_timing: id  0 | task 298 |        eval time =   53380.90 ms /  3193 tokens (   16.72 ms per token,    59.80 tokens per second)
74.12.295 I slot print_timing: id  0 | task 298 | draft acceptance = 0.79085 ( 2246 accepted /  2840 generated)
74.12.295 I slot print_timing: id  0 | task 298 | reasoning effort = medium
74.29.616 I slot print_timing: id  0 | task 299 | prompt eval time =    5248.30 ms /  3458 tokens (    1.52 ms per token,   658.90 tokens per second)  [23552 cached]
74.29.616 I slot print_timing: id  0 | task 299 |        eval time =   11815.50 ms /   734 tokens (   16.10 ms per token,    62.10 tokens per second)
74.29.616 I slot print_timing: id  0 | task 299 | draft acceptance = 0.83175 (  524 accepted /   630 generated)
74.29.616 I slot print_timing: id  0 | task 299 | reasoning effort = medium
74.34.631 I slot print_timing: id  0 | task 300 | prompt eval time =    1736.60 ms /   971 tokens (    1.79 ms per token,   559.20 tokens per second)  [26880 cached]
74.34.631 I slot print_timing: id  0 | task 300 |        eval time =    3150.70 ms /   174 tokens (   18.11 ms per token,    55.20 tokens per second)
74.34.631 I slot print_timing: id  0 | task 300 | draft acceptance = 0.71084 (  118 accepted /   166 generated)
74.34.631 I slot print_timing: id  0 | task 300 | reasoning effort = medium
74.39.325 I slot print_timing: id  0 | task 301 | prompt eval time =     936.50 ms /   423 tokens (    2.21 ms per token,   451.70 tokens per second)  [27648 cached]
74.39.325 I slot print_timing: id  0 | task 301 |        eval time =    3633.30 ms /   213 tokens (   17.06 ms per token,    58.60 tokens per second)
74.39.325 I slot print_timing: id  0 | task 301 | draft acceptance = 0.78836 (  149 accepted /   189 generated)
74.39.325 I slot print_timing: id  0 | task 301 | reasoning effort = medium
74.53.058 I slot print_timing: id  0 | task 302 | prompt eval time =    1011.70 ms /   464 tokens (    2.18 ms per token,   458.60 tokens per second)  [27904 cached]
74.53.058 I slot print_timing: id  0 | task 302 |        eval time =   12576.00 ms /   873 tokens (   14.41 ms per token,    69.40 tokens per second)
74.53.058 I slot print_timing: id  0 | task 302 | draft acceptance = 0.97451 (  650 accepted /   667 generated)
74.53.058 I slot print_timing: id  0 | task 302 | reasoning effort = medium
74.56.689 I slot print_timing: id  0 | task 303 | prompt eval time =    1988.20 ms /  1165 tokens (    1.71 ms per token,   586.00 tokens per second)  [28160 cached]
74.56.689 I slot print_timing: id  0 | task 303 |        eval time =    1487.50 ms /    90 tokens (   16.53 ms per token,    60.50 tokens per second)
74.56.689 I slot print_timing: id  0 | task 303 | draft acceptance = 0.84211 (   64 accepted /    76 generated)
74.56.689 I slot print_timing: id  0 | task 303 | reasoning effort = medium
75.03.380 I slot print_timing: id  0 | task 304 | prompt eval time =     888.80 ms /   513 tokens (    1.73 ms per token,   577.20 tokens per second)  [29184 cached]
75.03.380 I slot print_timing: id  0 | task 304 |        eval time =    5006.70 ms /   323 tokens (   15.50 ms per token,    64.50 tokens per second)
75.03.380 I slot print_timing: id  0 | task 304 | draft acceptance = 0.89015 (  235 accepted /   264 generated)
75.03.380 I slot print_timing: id  0 | task 304 | reasoning effort = medium
75.10.467 I slot print_timing: id  0 | task 305 | prompt eval time =    1673.80 ms /   918 tokens (    1.82 ms per token,   548.40 tokens per second)  [29184 cached]
75.10.467 I slot print_timing: id  0 | task 305 |        eval time =    5262.10 ms /   352 tokens (   14.95 ms per token,    66.90 tokens per second)
75.10.467 I slot print_timing: id  0 | task 305 | draft acceptance = 0.92832 (  259 accepted /   279 generated)
75.10.467 I slot print_timing: id  0 | task 305 | reasoning effort = medium
75.14.318 I slot print_timing: id  0 | task 306 | prompt eval time =    1146.60 ms /   584 tokens (    1.96 ms per token,   509.30 tokens per second)  [29952 cached]
75.14.318 I slot print_timing: id  0 | task 306 |        eval time =    2552.00 ms /   172 tokens (   14.84 ms per token,    67.40 tokens per second)
75.14.318 I slot print_timing: id  0 | task 306 | draft acceptance = 0.94776 (  127 accepted /   134 generated)
75.14.318 I slot print_timing: id  0 | task 306 | reasoning effort = medium
75.21.923 I slot print_timing: id  0 | task 307 | prompt eval time =    1050.20 ms /   492 tokens (    2.13 ms per token,   468.50 tokens per second)  [30464 cached]
75.21.923 I slot print_timing: id  0 | task 307 |        eval time =    6404.60 ms /   410 tokens (   15.62 ms per token,    64.00 tokens per second)
75.21.923 I slot print_timing: id  0 | task 307 | draft acceptance = 0.88131 (  297 accepted /   337 generated)
75.21.923 I slot print_timing: id  0 | task 307 | reasoning effort = medium
75.24.694 I slot print_timing: id  0 | task 308 | prompt eval time =    1410.50 ms /   725 tokens (    1.95 ms per token,   514.00 tokens per second)  [30720 cached]
