"run_id","timestamp","artifact_revision","runtime_commit","ctx_allocated","kv_k","kv_v","batch","ubatch","split_mode","tensor_split","placement","n_cpu_moe","threads","threads_batch","load_mode","tensor_read_lazy","prompt_tokens","output_tokens","prompt_tps","decode_tps","ttft_proxy_s","request_wall_s","gpu0_used_mb","gpu0_free_mb","gpu1_used_mb","gpu1_free_mb","total_dedicated_mb","gpu0_util","gpu1_util","ram_used_mb","ram_avail_mb","proc_ws_mb","proc_priv_mb","pagefile_mb","success","failure_reason","notes"
"b-ts9000_16000","2026-09-23 05:24:42","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","9000","16000,26","26","14","20","mmap","on","74","69","8.67","7.72","17.38","17.38","8293","3989","14048","2235","22341","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","48011","825","28301","26052","26052","PASS",""," probe=decode phase=rep1 answer=correct-sum"
"b-ts9000_16000","2026-09-23 05:24:50","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","9000","16000,26","26","14","20","mmap","on","74","69","7.01","9.46","7.78","7.78","8334","3948","14068","2215","22402","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","48120","717","28460","26201","26201","PASS",""," probe=decode phase=rep2 answer=correct-sum"
"b-ts9500_16000","2026-09-23 05:29:08","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","9500","16000,26","26","14","20","mmap","on","74","69","7.75","7.57","18.57","18.57","8299","3983","14048","2235","22347","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47616","1221","28636","26049","26049","PASS",""," probe=decode phase=rep1 answer=correct-sum"
"b-ts9500_16000","2026-09-23 05:29:17","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","9500","16000,26","26","14","20","mmap","on","74","69","6.92","9.07","8.09","8.09","8338","3944","14068","2215","22406","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47816","1021","28793","26199","26199","PASS",""," probe=decode phase=rep2 answer=correct-sum"
"b-ts10000_16000","2026-09-23 05:33:15","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","10000","16000,26","26","14","20","mmap","on","74","69","7.03","6.82","20.55","20.55","8440","3842","13910","2373","22350","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","45800","3036","28647","26050","26050","PASS",""," probe=decode phase=rep1 answer=correct-sum"
"b-ts10000_16000","2026-09-23 05:33:24","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","10000","16000,26","26","14","20","mmap","on","74","69","6.07","9.13","8.12","8.12","8445","3837","13930","2353","22375","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","46140","2697","28757","26128","26128","PASS",""," probe=decode phase=rep2 answer=correct-sum"
"b-ts8500_16000","2026-09-23 05:38:25","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,26","26","14","20","mmap","on","74","69","7.65","7.56","18.7","18.7","8299","3983","14048","2235","22347","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","45738","3099","28636","26046","26046","PASS",""," probe=decode phase=rep1 answer=correct-sum"
"e-ncmoe24_ts9000","2026-09-23 05:41:55","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","9000","16000,24","24","14","20","mmap","on","74","69","8.92","8.53","16.32","16.32","8757","3525","14992","1291","23749","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47055","1782","29374","27401","27401","PASS",""," probe=decode phase=rep1 answer=correct-sum"
"e-ncmoe20_ts9000","2026-09-23 05:44:44","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","9000","16000,20","20","14","20","mmap","on","0","0","0","0","0","0","951","0","87","0","1038","","","0","0","0","0","0","FAIL","boot-failed",""
"e-ncmoe24_ts8500","2026-09-23 05:49:08","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","14","20","mmap","on","74","69","11.39","9.87","13.43","13.43","8757","3525","14992","1291","23749","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47285","1551","29374","27402","27402","PASS",""," probe=decode phase=rep1 answer=correct-sum"
"e24-confirm_ts8500","2026-09-23 05:52:35","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","14","20","mmap","on","74","69","8.92","8.72","16.13","16.13","8772","3510","14992","1291","23764","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47855","981","28939","27400","27400","PASS",""," probe=decode phase=rep1 answer=correct-sum"
"e24-confirm_ts8500","2026-09-23 05:52:43","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","14","20","mmap","on","74","69","7.17","11.71","6.38","6.38","8813","3469","15012","1271","23825","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47894","942","29093","27550","27550","PASS",""," probe=decode phase=rep2 answer=correct-sum"
"e24-confirm_ts8500","2026-09-23 05:52:49","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","14","20","mmap","on","74","69","10.66","11.83","6.14","6.14","8813","3469","15012","1271","23825","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47888","948","29094","27551","27551","PASS",""," probe=decode phase=rep3 answer=correct-sum"
"e-ncmoe22_ts8500","2026-09-23 05:56:43","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,22","22","14","20","mmap","on","0","0","0","0","0","0","970","0","87","0","1057","","","0","0","0","0","0","FAIL","boot-failed",""
"th-t8_ts8500","2026-09-23 06:05:03","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","8","20","mmap","on","74","69","9.2","6.87","17.98","17.98","8810","3472","14992","1291","23802","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47333","1503","29372","27399","27399","PASS",""," probe=decode phase=rep1 answer=correct-sum"
"th-t8_ts8500","2026-09-23 06:05:13","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","8","20","mmap","on","74","69","7.78","8.22","8.8","8.8","8852","3430","15012","1271","23864","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47664","1173","29524","27548","27548","PASS",""," probe=decode phase=rep2 answer=correct-sum"
"th-t12_ts8500","2026-09-23 06:08:41","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","12","20","mmap","on","74","69","8.64","8.29","16.82","16.82","8807","3475","14992","1291","23799","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47811","1026","29027","27399","27399","PASS",""," probe=decode phase=rep1 answer=correct-sum"
"th-t12_ts8500","2026-09-23 06:08:49","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","12","20","mmap","on","74","69","8.03","9.9","7.39","7.39","8849","3433","15012","1271","23861","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47784","1052","29179","27547","27547","PASS",""," probe=decode phase=rep2 answer=correct-sum"
"th-t16_ts8500","2026-09-23 06:12:18","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","16","20","mmap","on","74","69","9.1","9.17","15.58","15.58","8807","3475","14992","1291","23799","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47866","970","29374","27403","27403","PASS",""," probe=decode phase=rep1 answer=correct-sum"
"th-t16_ts8500","2026-09-23 06:12:26","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","16","20","mmap","on","74","69","7.72","9.69","7.56","7.56","8848","3434","15012","1271","23860","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","46907","1929","29523","27551","27551","PASS",""," probe=decode phase=rep2 answer=correct-sum"
"th-t14tb14_ts8500","2026-09-23 06:16:02","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","14","14","mmap","on","74","69","8.42","8.44","16.87","16.87","8814","3468","14992","1291","23806","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","46597","2240","29370","27399","27399","PASS",""," probe=decode phase=rep1 answer=correct-sum"
"th-t14tb14_ts8500","2026-09-23 06:16:09","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","14","14","mmap","on","74","69","8.07","11.12","6.64","6.64","8856","3426","15012","1271","23868","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","46759","2078","29520","27545","27545","PASS",""," probe=decode phase=rep2 answer=correct-sum"
"A-winner_ts8500","2026-09-23 06:22:07","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","14","20","mmap","on","3077","64","20.5","10.55","0","156.12","8869","3413","15046","1237","23915","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","48348","488","32270","27657","27657","PASS",""," probe=pre4k phase=rep1"
"A-winner_ts8500","2026-09-23 06:22:14","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","14","20","mmap","on","3077","64","7.22","10.83","0","6.41","8911","3371","15066","1217","23977","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","48260","576","32253","27700","27700","PASS",""," probe=pre4k phase=rep2"
"A-winner_ts8500","2026-09-23 06:22:21","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","14","20","mmap","on","3077","64","9.25","11.06","0","6.16","8911","3371","15066","1217","23977","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","48286","550","32258","27700","27700","PASS",""," probe=pre4k phase=rep3"
"A-winner_ts8500","2026-09-23 06:31:13","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","14","20","mmap","on","12090","64","22.92","10.67","0","531.69","8917","3365","15068","1215","23985","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47174","1662","32109","27914","27914","PASS",""," probe=pre16k phase=rep1"
"A-winner_ts8500","2026-09-23 06:31:20","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","14","20","mmap","on","12090","64","9.4","10.88","0","6.27","8917","3365","15068","1215","23985","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47085","1752","32023","27823","27823","PASS",""," probe=pre16k phase=rep2"
"A-winner_ts8500","2026-09-23 06:31:27","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","14","20","mmap","on","12090","64","10.84","11.06","0","6.1","8917","3365","15068","1215","23985","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47084","1752","32025","27825","27825","PASS",""," probe=pre16k phase=rep3"
"A-winner_ts8500","2026-09-23 06:31:28","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","14","20","mmap","on","0","0","0","0","0","0.07","8917","3365","15068","1215","23985","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47069","1767","32027","27827","27827","FAIL","server-error"," probe=pre32k phase=rep1"
"A-winner_ts8500","2026-09-23 06:31:28","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","14","20","mmap","on","0","0","0","0","0","0.05","8917","3365","15068","1215","23985","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47087","1750","32027","27827","27827","FAIL","server-error"," probe=pre32k phase=rep2"
"A-winner_ts8500","2026-09-23 06:31:29","2c4721899b4382bd07dfb61ae4fbad90c09caf7d","9f55aee","16384","q4_0","q4_0","2048","512","tensor","8500","16000,24","24","14","20","mmap","on","0","0","0","0","0","0.05","8917","3365","15068","1215","23985","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","Problem with GPU 0000:01:00.0: Invalid PCI bus id format. Try format [domain:]bus:device.function e.g. 0:2:0.0","47098","1738","32027","27827","27827","FAIL","server-error"," probe=pre32k phase=rep3"
