0.58.242 I slot print_timing: id  0 | task 2 | prompt eval time =    2872.60 ms /   844 tokens (    3.40 ms per token,   293.80 tokens per second)
7.35.860 I slot print_timing: id  0 | task 7 | prompt eval time =   24276.30 ms / 14267 tokens (    1.70 ms per token,   587.70 tokens per second)  [38144 cached]
7.35.860 I slot print_timing: id  0 | task 7 |        eval time =   17209.00 ms /   642 tokens (   26.81 ms per token,    37.30 tokens per second)
7.35.860 I slot print_timing: id  0 | task 7 | draft acceptance = 0.49419 (  383 accepted /   775 generated)
7.35.860 I slot print_timing: id  0 | task 7 | reasoning effort = medium
8.15.296 I slot print_timing: id  0 | task 9 | prompt eval time =     379.90 ms /    86 tokens (    4.42 ms per token,   226.40 tokens per second)  [768 cached]
8.15.296 I slot print_timing: id  0 | task 9 |        eval time =    6348.40 ms /   313 tokens (   20.28 ms per token,    49.30 tokens per second)
8.15.296 I slot print_timing: id  0 | task 9 | draft acceptance = 0.61890 (  203 accepted /   328 generated)
8.15.296 I slot print_timing: id  0 | task 9 | reasoning effort = xhigh
8.58.938 I slot print_timing: id  0 | task 9 | prompt eval time =   36242.70 ms / 27148 tokens (    1.34 ms per token,   749.10 tokens per second)
8.58.938 I slot print_timing: id  0 | task 9 |        eval time =    7385.70 ms /   363 tokens (   20.35 ms per token,    49.10 tokens per second)
8.58.938 I slot print_timing: id  0 | task 9 | draft acceptance = 0.68927 (  244 accepted /   354 generated)
8.58.938 I slot print_timing: id  0 | task 9 | reasoning effort = medium
9.11.471 I slot print_timing: id  0 | task 10 | prompt eval time =    3413.90 ms /  2164 tokens (    1.58 ms per token,   633.90 tokens per second)  [27136 cached]
9.11.471 I slot print_timing: id  0 | task 10 |        eval time =    8886.10 ms /   436 tokens (   20.38 ms per token,    49.10 tokens per second)
9.11.471 I slot print_timing: id  0 | task 10 | draft acceptance = 0.69740 (  295 accepted /   423 generated)
9.11.471 I slot print_timing: id  0 | task 10 | reasoning effort = medium
17.17.475 I slot print_timing: id  0 | task 11 | prompt eval time =   11337.40 ms /  7149 tokens (    1.59 ms per token,   630.60 tokens per second)  [29184 cached]
17.17.475 I slot print_timing: id  0 | task 11 |        eval time =  474385.60 ms / 23317 tokens (   20.35 ms per token,    49.20 tokens per second)
17.17.475 I slot print_timing: id  0 | task 11 | draft acceptance = 0.74038 (16078 accepted / 21716 generated)
17.17.475 I slot print_timing: id  0 | task 11 | reasoning effort = medium
17.59.872 I slot print_timing: id  0 | task 12 | prompt eval time =   39859.20 ms / 23359 tokens (    1.71 ms per token,   586.00 tokens per second)  [36096 cached]
17.59.872 I slot print_timing: id  0 | task 12 |        eval time =    2230.00 ms /   100 tokens (   22.30 ms per token,    44.80 tokens per second)
17.59.872 I slot print_timing: id  0 | task 12 | draft acceptance = 0.59813 (   64 accepted /   107 generated)
17.59.872 I slot print_timing: id  0 | task 12 | reasoning effort = medium
18.26.592 I slot print_timing: id  0 | task 13 | prompt eval time =    3962.60 ms /  2004 tokens (    1.98 ms per token,   505.70 tokens per second)  [59392 cached]
18.26.592 I slot print_timing: id  0 | task 13 |        eval time =   22540.50 ms /  1251 tokens (   18.02 ms per token,    55.50 tokens per second)
18.26.592 I slot print_timing: id  0 | task 13 | draft acceptance = 0.82900 (  892 accepted /  1076 generated)
18.26.592 I slot print_timing: id  0 | task 13 | reasoning effort = medium
20.11.564 I slot print_timing: id  0 | task 14 | prompt eval time =    3536.20 ms /  1743 tokens (    2.03 ms per token,   492.90 tokens per second)  [61184 cached]
20.11.564 I slot print_timing: id  0 | task 14 |        eval time =  100161.10 ms /  4597 tokens (   21.79 ms per token,    45.90 tokens per second)
20.11.564 I slot print_timing: id  0 | task 14 | draft acceptance = 0.65033 ( 3039 accepted /  4673 generated)
20.11.564 I slot print_timing: id  0 | task 14 | reasoning effort = medium
20.25.247 I slot print_timing: id  0 | task 15 | prompt eval time =    9557.90 ms /  4885 tokens (    1.96 ms per token,   511.10 tokens per second)  [62720 cached]
20.25.247 I slot print_timing: id  0 | task 15 |        eval time =    3835.60 ms /   214 tokens (   17.92 ms per token,    55.80 tokens per second)
20.25.247 I slot print_timing: id  0 | task 15 | draft acceptance = 0.91228 (  156 accepted /   171 generated)
20.25.247 I slot print_timing: id  0 | task 15 | reasoning effort = medium
20.28.853 I slot print_timing: id  0 | task 16 | prompt eval time =    1198.70 ms /   337 tokens (    3.56 ms per token,   281.10 tokens per second)  [67584 cached]
20.28.853 I slot print_timing: id  0 | task 16 |        eval time =    2122.50 ms /   125 tokens (   16.98 ms per token,    58.90 tokens per second)
20.28.853 I slot print_timing: id  0 | task 16 | draft acceptance = 0.97895 (   93 accepted /    95 generated)
20.28.853 I slot print_timing: id  0 | task 16 | reasoning effort = medium
20.40.004 I slot print_timing: id  0 | task 17 | prompt eval time =     885.10 ms /   313 tokens (    2.83 ms per token,   353.60 tokens per second)  [67840 cached]
20.40.004 I slot print_timing: id  0 | task 17 |        eval time =    9994.10 ms /   568 tokens (   17.60 ms per token,    56.80 tokens per second)
20.40.004 I slot print_timing: id  0 | task 17 | draft acceptance = 0.92257 (  417 accepted /   452 generated)
20.40.004 I slot print_timing: id  0 | task 17 | reasoning effort = medium
20.53.335 I slot print_timing: id  0 | task 18 | prompt eval time =    1785.40 ms /   727 tokens (    2.46 ms per token,   407.20 tokens per second)  [68096 cached]
20.53.335 I slot print_timing: id  0 | task 18 |        eval time =   11261.80 ms /   588 tokens (   19.15 ms per token,    52.20 tokens per second)
20.53.335 I slot print_timing: id  0 | task 18 | draft acceptance = 0.83135 (  419 accepted /   504 generated)
20.53.335 I slot print_timing: id  0 | task 18 | reasoning effort = medium
21.44.577 I slot print_timing: id  0 | task 19 | prompt eval time =    2307.00 ms /  1055 tokens (    2.19 ms per token,   457.30 tokens per second)  [68608 cached]
21.44.577 I slot print_timing: id  0 | task 19 |        eval time =   41924.40 ms /  1941 tokens (   21.60 ms per token,    46.30 tokens per second)
21.44.577 I slot print_timing: id  0 | task 19 | draft acceptance = 0.71699 ( 1325 accepted /  1848 generated)
21.44.577 I slot print_timing: id  0 | task 19 | reasoning effort = medium
23.34.742 I slot print_timing: id  0 | task 20 | prompt eval time =    5390.70 ms /  2587 tokens (    2.08 ms per token,   479.90 tokens per second)  [69632 cached]
23.34.742 I slot print_timing: id  0 | task 20 |        eval time =  104479.40 ms /  4624 tokens (   22.60 ms per token,    44.30 tokens per second)
23.34.742 I slot print_timing: id  0 | task 20 | draft acceptance = 0.68070 ( 3104 accepted /  4560 generated)
23.34.742 I slot print_timing: id  0 | task 20 | reasoning effort = medium
23.48.840 I slot print_timing: id  0 | task 21 | prompt eval time =    9801.80 ms /  4683 tokens (    2.09 ms per token,   477.80 tokens per second)  [72192 cached]
23.48.840 I slot print_timing: id  0 | task 21 |        eval time =    3992.20 ms /   226 tokens (   17.66 ms per token,    56.60 tokens per second)
23.48.840 I slot print_timing: id  0 | task 21 | draft acceptance = 0.94350 (  167 accepted /   177 generated)
23.48.840 I slot print_timing: id  0 | task 21 | reasoning effort = medium
23.53.183 I slot print_timing: id  0 | task 22 | prompt eval time =    1214.30 ms /   403 tokens (    3.01 ms per token,   331.90 tokens per second)  [76800 cached]
23.53.183 I slot print_timing: id  0 | task 22 |        eval time =    2832.50 ms /   163 tokens (   17.38 ms per token,    57.50 tokens per second)
23.53.183 I slot print_timing: id  0 | task 22 | draft acceptance = 0.97581 (  121 accepted /   124 generated)
23.53.183 I slot print_timing: id  0 | task 22 | reasoning effort = medium
23.59.836 I slot print_timing: id  0 | task 23 | prompt eval time =    1221.60 ms /   412 tokens (    2.97 ms per token,   337.30 tokens per second)  [77056 cached]
23.59.836 I slot print_timing: id  0 | task 23 |        eval time =    5136.80 ms /   289 tokens (   17.77 ms per token,    56.30 tokens per second)
23.59.836 I slot print_timing: id  0 | task 23 | draft acceptance = 0.93833 (  213 accepted /   227 generated)
23.59.836 I slot print_timing: id  0 | task 23 | reasoning effort = medium
24.18.922 I slot print_timing: id  0 | task 24 | prompt eval time =    1425.70 ms /   548 tokens (    2.60 ms per token,   384.40 tokens per second)  [77312 cached]
24.18.922 I slot print_timing: id  0 | task 24 |        eval time =   10929.90 ms /   556 tokens (   19.66 ms per token,    50.90 tokens per second)
24.18.922 I slot print_timing: id  0 | task 24 | draft acceptance = 0.82500 (  396 accepted /   480 generated)
24.18.922 I slot print_timing: id  0 | task 24 | reasoning effort = medium
24.30.148 I slot print_timing: id  0 | task 25 | prompt eval time =    2081.00 ms /   843 tokens (    2.47 ms per token,   405.10 tokens per second)  [77824 cached]
24.30.148 I slot print_timing: id  0 | task 25 |        eval time =    2503.30 ms /   138 tokens (   18.14 ms per token,    55.10 tokens per second)
24.30.148 I slot print_timing: id  0 | task 25 | draft acceptance = 0.92661 (  101 accepted /   109 generated)
24.30.148 I slot print_timing: id  0 | task 25 | reasoning effort = medium
24.43.559 I slot print_timing: id  0 | task 26 | prompt eval time =    1075.80 ms /   353 tokens (    3.05 ms per token,   328.10 tokens per second)  [78592 cached]
24.43.559 I slot print_timing: id  0 | task 26 |        eval time =   11758.70 ms /   508 tokens (   23.15 ms per token,    43.20 tokens per second)
24.43.559 I slot print_timing: id  0 | task 26 | draft acceptance = 0.65692 (  337 accepted /   513 generated)
24.43.559 I slot print_timing: id  0 | task 26 | reasoning effort = medium
24.55.433 I slot print_timing: id  0 | task 27 | prompt eval time =    1771.30 ms /   688 tokens (    2.57 ms per token,   388.40 tokens per second)  [78848 cached]
24.55.433 I slot print_timing: id  0 | task 27 |        eval time =    9676.20 ms /   426 tokens (   22.71 ms per token,    44.00 tokens per second)
24.55.433 I slot print_timing: id  0 | task 27 | draft acceptance = 0.67857 (  285 accepted /   420 generated)
24.55.433 I slot print_timing: id  0 | task 27 | reasoning effort = medium
25.29.885 I slot print_timing: id  0 | task 28 | prompt eval time =    1761.00 ms /   656 tokens (    2.68 ms per token,   372.50 tokens per second)  [79360 cached]
25.29.885 I slot print_timing: id  0 | task 28 |        eval time =   32223.80 ms /  1263 tokens (   25.51 ms per token,    39.20 tokens per second)
25.29.885 I slot print_timing: id  0 | task 28 | draft acceptance = 0.56512 (  794 accepted /  1405 generated)
25.29.885 I slot print_timing: id  0 | task 28 | reasoning effort = medium
26.16.293 I slot print_timing: id  0 | task 30 | prompt eval time =    1340.80 ms /   835 tokens (    1.61 ms per token,   622.80 tokens per second)
26.16.293 I slot print_timing: id  0 | task 30 |        eval time =   17029.70 ms /   853 tokens (   19.96 ms per token,    50.10 tokens per second)
26.16.293 I slot print_timing: id  0 | task 30 | draft acceptance = 0.59111 (  545 accepted /   922 generated)
26.16.293 I slot print_timing: id  0 | task 30 | reasoning effort = xhigh
29.08.033 I slot print_timing: id  0 | task 30 | prompt eval time =   34549.10 ms / 26557 tokens (    1.30 ms per token,   768.70 tokens per second)
29.08.033 I slot print_timing: id  0 | task 30 |        eval time =  137175.70 ms /  8138 tokens (   16.86 ms per token,    59.30 tokens per second)
29.08.033 I slot print_timing: id  0 | task 30 | draft acceptance = 0.86351 ( 5871 accepted /  6799 generated)
29.08.033 I slot print_timing: id  0 | task 30 | reasoning effort = medium
29.33.801 I slot print_timing: id  0 | task 31 | prompt eval time =   12504.70 ms /  8187 tokens (    1.53 ms per token,   654.70 tokens per second)  [26624 cached]
29.33.801 I slot print_timing: id  0 | task 31 |        eval time =   13058.40 ms /   493 tokens (   26.49 ms per token,    37.80 tokens per second)
29.33.801 I slot print_timing: id  0 | task 31 | draft acceptance = 0.43594 (  279 accepted /   640 generated)
29.33.801 I slot print_timing: id  0 | task 31 | reasoning effort = medium
30.15.475 I slot print_timing: id  0 | task 33 | prompt eval time =    1465.70 ms /   845 tokens (    1.73 ms per token,   576.50 tokens per second)
30.15.475 I slot print_timing: id  0 | task 33 |        eval time =   14872.70 ms /   819 tokens (   18.16 ms per token,    55.10 tokens per second)
30.15.475 I slot print_timing: id  0 | task 33 | draft acceptance = 0.70076 (  555 accepted /   792 generated)
30.15.475 I slot print_timing: id  0 | task 33 | reasoning effort = xhigh
31.09.615 I slot print_timing: id  0 | task 33 | prompt eval time =   34975.10 ms / 26659 tokens (    1.31 ms per token,   762.20 tokens per second)
31.09.615 I slot print_timing: id  0 | task 33 |        eval time =   19148.50 ms /   894 tokens (   21.42 ms per token,    46.70 tokens per second)
31.09.615 I slot print_timing: id  0 | task 33 | draft acceptance = 0.60273 (  575 accepted /   954 generated)
31.09.615 I slot print_timing: id  0 | task 33 | reasoning effort = medium
42.57.504 I slot print_timing: id  0 | task 34 | prompt eval time =    4417.70 ms /  2777 tokens (    1.59 ms per token,   628.60 tokens per second)  [26624 cached]
42.57.504 I slot print_timing: id  0 | task 34 |        eval time =  702683.80 ms / 32584 tokens (   21.57 ms per token,    46.40 tokens per second)
42.57.504 I slot print_timing: id  0 | task 34 | draft acceptance = 0.67895 (21854 accepted / 32188 generated)
42.57.504 I slot print_timing: id  0 | task 34 | reasoning effort = medium
44.11.304 I slot print_timing: id  0 | task 35 | prompt eval time =   56732.30 ms / 33512 tokens (    1.69 ms per token,   590.70 tokens per second)  [29184 cached]
44.11.304 I slot print_timing: id  0 | task 35 |        eval time =   16593.90 ms /   851 tokens (   19.50 ms per token,    51.30 tokens per second)
44.11.304 I slot print_timing: id  0 | task 35 | draft acceptance = 0.82090 (  605 accepted /   737 generated)
44.11.304 I slot print_timing: id  0 | task 35 | reasoning effort = medium
44.25.268 I slot print_timing: id  0 | task 36 | prompt eval time =    2713.20 ms /  1328 tokens (    2.04 ms per token,   489.50 tokens per second)  [62464 cached]
44.25.268 I slot print_timing: id  0 | task 36 |        eval time =    8396.10 ms /   395 tokens (   21.26 ms per token,    47.00 tokens per second)
44.25.268 I slot print_timing: id  0 | task 36 | draft acceptance = 0.74317 (  272 accepted /   366 generated)
44.25.268 I slot print_timing: id  0 | task 36 | reasoning effort = medium
44.34.667 I slot print_timing: id  0 | task 37 | prompt eval time =    1930.50 ms /   838 tokens (    2.30 ms per token,   434.10 tokens per second)  [63744 cached]
44.34.667 I slot print_timing: id  0 | task 37 |        eval time =    6849.90 ms /   337 tokens (   20.33 ms per token,    49.20 tokens per second)
44.34.667 I slot print_timing: id  0 | task 37 | draft acceptance = 0.77888 (  236 accepted /   303 generated)
44.34.667 I slot print_timing: id  0 | task 37 | reasoning effort = medium
46.05.271 I slot print_timing: id  0 | task 38 | prompt eval time =    4124.80 ms /  2006 tokens (    2.06 ms per token,   486.30 tokens per second)  [64512 cached]
46.05.271 I slot print_timing: id  0 | task 38 |        eval time =   86020.40 ms /  3606 tokens (   23.85 ms per token,    41.90 tokens per second)
46.05.271 I slot print_timing: id  0 | task 38 | draft acceptance = 0.64869 ( 2382 accepted /  3672 generated)
46.05.271 I slot print_timing: id  0 | task 38 | reasoning effort = medium
46.18.883 I slot print_timing: id  0 | task 39 | prompt eval time =    7382.50 ms /  3641 tokens (    2.03 ms per token,   493.20 tokens per second)  [66560 cached]
46.18.883 I slot print_timing: id  0 | task 39 |        eval time =    5746.70 ms /   314 tokens (   18.30 ms per token,    54.60 tokens per second)
46.18.883 I slot print_timing: id  0 | task 39 | draft acceptance = 0.93145 (  231 accepted /   248 generated)
46.18.883 I slot print_timing: id  0 | task 39 | reasoning effort = medium
46.41.939 I slot print_timing: id  0 | task 40 | prompt eval time =    1377.80 ms /   484 tokens (    2.85 ms per token,   351.30 tokens per second)  [70144 cached]
46.41.939 I slot print_timing: id  0 | task 40 |        eval time =   14903.60 ms /   709 tokens (   21.02 ms per token,    47.60 tokens per second)
46.41.939 I slot print_timing: id  0 | task 40 | draft acceptance = 0.76434 (  493 accepted /   645 generated)
46.41.939 I slot print_timing: id  0 | task 40 | reasoning effort = medium
46.54.746 I slot print_timing: id  0 | task 41 | prompt eval time =    2806.70 ms /  1182 tokens (    2.37 ms per token,   421.10 tokens per second)  [70400 cached]
46.54.746 I slot print_timing: id  0 | task 41 |        eval time =    2497.20 ms /   143 tokens (   17.46 ms per token,    57.30 tokens per second)
46.54.746 I slot print_timing: id  0 | task 41 | draft acceptance = 0.99074 (  107 accepted /   108 generated)
46.54.746 I slot print_timing: id  0 | task 41 | reasoning effort = medium
47.10.808 I slot print_timing: id  0 | task 42 | prompt eval time =    1056.90 ms /   353 tokens (    2.99 ms per token,   334.00 tokens per second)  [71424 cached]
47.10.808 I slot print_timing: id  0 | task 42 |        eval time =   14488.60 ms /   594 tokens (   24.39 ms per token,    41.00 tokens per second)
47.10.808 I slot print_timing: id  0 | task 42 | draft acceptance = 0.61859 (  386 accepted /   624 generated)
47.10.808 I slot print_timing: id  0 | task 42 | reasoning effort = medium
47.33.759 I slot print_timing: id  0 | task 43 | prompt eval time =    2192.10 ms /   788 tokens (    2.78 ms per token,   359.50 tokens per second)  [71680 cached]
47.33.759 I slot print_timing: id  0 | task 43 |        eval time =   20181.70 ms /   860 tokens (   23.47 ms per token,    42.60 tokens per second)
47.33.759 I slot print_timing: id  0 | task 43 | draft acceptance = 0.65668 (  570 accepted /   868 generated)
47.33.759 I slot print_timing: id  0 | task 43 | reasoning effort = medium
48.02.454 I slot print_timing: id  0 | task 44 | prompt eval time =    2296.00 ms /  1036 tokens (    2.22 ms per token,   451.20 tokens per second)  [72448 cached]
48.02.454 I slot print_timing: id  0 | task 44 |        eval time =   25760.10 ms /   946 tokens (   27.23 ms per token,    36.70 tokens per second)
48.02.454 I slot print_timing: id  0 | task 44 | draft acceptance = 0.52968 (  580 accepted /  1095 generated)
48.02.454 I slot print_timing: id  0 | task 44 | reasoning effort = medium
